time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31,curve_32,curve_33,curve_34,curve_35,curve_36,curve_37,curve_38,curve_39,curve_40,curve_41,curve_42,curve_43,curve_44,curve_45,curve_46,curve_47,curve_48,curve_49,curve_50,curve_51,curve_52,curve_53,curve_54,curve_55,curve_56,curve_57,curve_58,curve_59,curve_60,curve_61,curve_62,curve_63,curve_64,curve_65,curve_66,curve_67,curve_68,curve_69,curve_70,curve_71,curve_72,curve_73,curve_74,curve_75,curve_76,curve_77,curve_78,curve_79,curve_80,curve_81,curve_82,curve_83,curve_84,curve_85,curve_86,curve_87,curve_88,curve_89,curve_90,curve_91,curve_92,curve_93,curve_94,curve_95,curve_96,curve_97,curve_98,curve_99,curve_100
0,-195.69368534248895,-214.47698353232514,-234.6911339661264,-201.07361832147615,-228.6366830452158,-194.62309827383305,-202.0409764223454,-177.70035555859968,-210.47614878142713,-213.050660808114,-193.08040727645897,-215.89521998500467,-210.29082174999255,-199.06471949027548,-187.41081379240632,-200.68958046094346,-195.52381293938606,-203.32014664292973,-167.5477611868593,-177.83860086487363,-228.07505230223973,-183.06817469669343,-195.397063653161,-216.1150876182642,-222.37079802726402,-214.42241410626966,-194.806393757767,-195.52307165350913,-199.0796611850734,-177.233072117825,-196.51675739836054,-198.73111045244792,-173.9271432551859,-187.01799571016318,-173.39077313442854,-192.43807182674735,-193.50280463330867,-205.88590429115783,-206.50197498510235,-198.34320107481207,-195.10972304014163,-204.57092129718538,-214.99608060876835,-176.5283872674117,-218.72488369440944,-226.08451161530948,-196.20751727554796,-229.38096528726828,-162.47011954055424,-208.13597855959563,-162.4935626777813,-209.2899523063646,-203.1146412190995,-249.42236081365158,-178.7417317403346,-198.68192898735774,-199.9317859618118,-187.63960114109133,-202.7953330472455,-190.41949920740532,-214.15028848834436,-198.15112560866274,-188.48750825913467,-214.27431450683437,-165.46093188348436,-193.1788312940602,-240.80106902681416,-192.35055904038927,-221.29379916962063,-181.00253042997502,-204.7045079425092,-180.95382421633298,-211.15006908828963,-206.35980479282165,-191.13257147612424,-207.04711019085056,-204.15805315649948,-218.80081303410907,-188.52644405622283,-214.41916689179664,-200.3404926733721,-210.3457469345882,-186.66039070784024,-213.4354239314711,-204.88607753879748,-191.82619138922166,-214.41794079462167,-205.91201910301555,-190.75874289840527,-181.1378013924627,-163.79267981586747,-220.62879448507258,-201.37408755933853,-171.95525778673843,-188.10247382799554,-227.1767057475522,-222.5548489990646,-206.21433281059763,-198.17297154352704,-224.4165887116027
1,-191.2954939555073,-216.72204336304586,-229.571872849781,-218.23561495270093,-232.4133039333468,-194.0865811145168,-212.6870181159094,-186.5101410393472,-209.8144117457823,-212.1462747662904,-196.01854834928997,-218.40739732470016,-206.24077319647114,-199.894590593754,-192.42272502358458,-199.63295599895676,-183.4682403809446,-204.83590596479277,-168.81163830581662,-171.28422970956257,-220.62642989945869,-184.02813116454894,-188.8827116623617,-219.9400306664437,-234.80883936749353,-212.1333436292965,-209.43460929946588,-191.8700360881871,-201.53198144234693,-179.2359866633747,-201.47322493580765,-183.94468918299634,-178.03986674696569,-201.89325220417578,-166.25249954280122,-186.31278601914983,-201.31679313322218,-206.1614021372274,-203.4280733675818,-200.90740253677137,-191.50545990262546,-195.90885003111345,-214.86268228408863,-173.03378192292223,-216.90509258613505,-222.81995880799116,-189.59256824679966,-233.2771042357631,-165.2830604532305,-205.7545057751898,-164.29967106570317,-212.89054907604395,-198.17149055470327,-247.42135550397748,-178.16794290638356,-214.09724825242816,-208.75231443552696,-197.5271921142479,-203.48709281502624,-179.09792182443908,-218.6198812074894,-193.65545462903196,-181.1089994158971,-210.07163065342647,-169.06721623688702,-185.74858164927394,-241.79496031639627,-201.59315759792278,-214.75575544413815,-172.07981637889458,-204.29352364088655,-188.59124839819685,-205.67208780694148,-209.52196345576377,-184.80899603371697,-203.73481922118089,-201.57298620134515,-218.51083454001352,-194.42759762950433,-217.81278505151744,-196.89549770360298,-210.03698290705336,-198.08391195369262,-203.27606126163403,-203.69912475760742,-192.67771571907056,-220.43295901304796,-207.82356834243905,-193.18818431658755,-181.62087365785135,-178.79095887139565,-217.32330893303921,-199.55931510724952,-171.4026645273509,-194.90787052876033,-227.60190447708655,-204.36646999469264,-204.6567806463397,-206.4118363576995,-225.21744471873595
2,-192.81732287809447,-217.77140400858636,-229.2897880583285,-216.3684295114616,-229.33785582850606,-190.81146819657963,-215.64051906354652,-184.921838452629,-213.01245560862452,-215.7560688347936,-200.2661565377123,-223.48791077699056,-202.19236635807775,-201.92800013004072,-191.6099248503963,-193.81350954577195,-184.15521220329398,-199.74448168376892,-172.22073345406127,-175.74142858325655,-219.1115618388733,-186.34829396820015,-187.82465208911862,-217.68108907379838,-229.53707329491215,-208.03668436614083,-206.18403736290855,-190.09151853264666,-202.34194810813645,-179.06728423547864,-203.57175608760164,-184.00071727882013,-177.80164008531227,-203.31122897403606,-164.20215261410542,-188.9736414071703,-200.27410344555764,-206.92356942224586,-200.7770282572382,-202.69539557219977,-190.0854169156563,-196.3951880233297,-214.29620720076827,-174.74526074774906,-213.45079207094784,-223.51382058966678,-183.47340511755053,-229.6318958577684,-164.59312769748482,-209.05579092269332,-164.25527314357944,-208.43275453719278,-202.96756375804944,-246.00244329217088,-174.8601388357685,-209.2976490721255,-209.04070169584799,-197.3308470306575,-208.5642846987102,-182.48990375055874,-218.6710923647177,-196.8232310169292,-180.24715619275736,-207.93647488135807,-167.24794208433946,-183.4059473788925,-242.7886958338573,-201.03724955431608,-210.4675603343872,-172.98671595292666,-201.29396238030472,-189.16408295584927,-212.0922524126201,-206.61569415156774,-183.8548278260704,-202.6654695327052,-207.14200289014644,-216.34253894698685,-192.53813495843292,-215.31579758711203,-199.66804057062222,-210.8084262410492,-199.23254733389118,-203.94021848742292,-209.07459131606393,-193.15058961402448,-213.50447280168686,-208.1347036438368,-192.1139570044425,-182.77238465043538,-178.43620957384576,-218.99759917094892,-203.95339720772492,-170.22477348146342,-197.88702916146212,-226.617613846488,-205.3025311952055,-208.01940640918744,-204.39821971610772,-221.34059981347434
3,-194.46225843499755,-217.56863342853424,-230.0441799839262,-211.0212511593715,-227.3490920473613,-188.97381311044768,-213.95347842796448,-181.44578953733887,-215.55044208931523,-217.65529164804042,-202.085505593393,-225.554618038625,-201.0168004854878,-204.86471039506435,-191.1756211750106,-189.60402036493974,-189.8602682336585,-197.7643669612079,-173.04744467198043,-179.12637911086534,-219.92476261448857,-187.46695204637976,-187.41252583822376,-215.86386121265903,-223.75971787061286,-207.38886014416295,-202.2236576846797,-190.01800493908777,-203.26451983649423,-178.15204984642014,-204.4298817412772,-186.40119341636506,-177.5216804183429,-201.06509847397888,-164.07098560715394,-192.43090678147206,-198.2980809624382,-208.50770568084613,-198.76962224934434,-202.72414425110796,-188.30675581826407,-198.55351387916008,-213.49939073644597,-177.9892851785001,-214.21475646465092,-223.8784318123852,-180.42833941635791,-227.58810240107533,-165.32191242609161,-210.53343596616762,-164.3275537980153,-204.8729593647263,-207.20347887506807,-245.89101630224877,-175.1222286180258,-204.17370171195626,-207.32604818334377,-194.1910961338611,-212.40384366685788,-185.49910963857081,-217.13268313060163,-200.65146710484726,-182.70332398086833,-208.88073519096363,-166.4083921516226,-184.3614559165023,-243.72173962995922,-196.99833228602023,-208.73315786776237,-173.91395890270013,-198.48042675442485,-187.91642551171344,-215.67266806615157,-203.72487065972763,-184.1563342683327,-203.53880268895577,-211.63163449004992,-214.86687844693589,-190.004585611179,-211.48361369491414,-201.65976609495792,-211.9424320167698,-197.6843614677361,-206.09537366684668,-212.33925315623623,-193.47841806932956,-209.02130338708247,-208.24330337339563,-190.40290976061078,-182.46080537049295,-174.41536859289812,-221.41192025703475,-204.81811174986981,-170.00511932380914,-198.15637840552063,-223.65478119373586,-209.9296908086697,-209.6793905241968,-203.01127654462823,-219.24542650506615
4,-195.0137474286771,-216.77341386555403,-230.34184125919228,-208.03887192157734,-227.31316747713294,-189.07924960223846,-211.0575991652631,-179.66769224506925,-216.13342325937828,-217.2196567835698,-201.64923792101672,-224.95975751173762,-201.70043064234503,-207.98381120743846,-192.21316354213073,-188.54805871936213,-195.43070198655056,-199.58610032072963,-171.70220523497068,-179.37660193532213,-220.55303170362933,-186.88198332267555,-186.95116325708867,-215.6381982057283,-222.46321150530218,-209.87680195643222,-201.87277597874365,-190.78749514969866,-204.16177506054376,-177.19316499166789,-204.9644284367368,-187.32988301460972,-178.3431045474572,-199.49080443417182,-164.2987572574166,-194.29397750144892,-197.0273104854321,-209.7874073066244,-197.86756875947404,-201.5129340304802,-186.527854568038,-199.83896813222034,-212.63600179988399,-180.51302046752065,-218.118536111363,-223.38554147312652,-180.88110726471163,-228.28885795475657,-167.7098623745908,-209.30333511472563,-164.9016511956621,-204.23096339849556,-208.43196252829597,-246.3954225035355,-178.02386690418035,-203.31083590461853,-206.0479678702814,-191.8791566980928,-214.1095888969744,-184.6027311648308,-215.56248464875708,-202.4621461957381,-185.58989863227538,-211.81729838454177,-167.19755632421996,-186.70240807297404,-244.6520997520559,-193.19862351084038,-208.92242347030827,-172.94416782551832,-197.05144033378045,-186.59681483841192,-214.45299453604997,-202.42348349748022,-184.66521875078948,-204.9697805416884,-213.1068275409081,-214.24271933071327,-188.92057243515188,-208.5301504588708,-201.92593221830117,-212.62085007779214,-196.4271975723197,-207.2448255152467,-212.11062701249847,-193.372900690441,-209.50754912668356,-208.5468196576356,-189.01020560907918,-181.13101437862505,-171.81019844354665,-223.32634370016083,-202.03105731636757,-171.01727558625007,-197.38503973381958,-220.6257405019228,-212.7084516323417,-209.20752103178654,-203.96646626142575,-219.74565977417518
5,-194.94848766710342,-216.04101895922042,-229.96109504979984,-208.18465091765904,-227.9466905978563,-190.35105508981906,-209.20429377275192,-180.17418627355332,-215.12560241445414,-215.6538836554653,-200.1576462113372,-223.60928270674484,-202.59718901514356,-210.53849568875344,-193.9274274251406,-189.89730862255686,-198.45971965862856,-202.95297278142482,-169.9015646354229,-177.98643594751874,-219.94648873725475,-185.08712380837633,-187.00415902961302,-216.2039584768111,-224.9927222302896,-213.59076799878596,-204.12963348413518,-191.62268260925958,-204.50103757291956,-176.47538695633725,-205.48046414805168,-186.8183728077941,-179.9199099475524,-199.61443455787975,-164.38011955429235,-194.59807437375565,-196.04565924861723,-209.98277884799947,-198.18743477715432,-199.92786710114845,-185.55832008914265,-200.0303613694783,-211.9015257979342,-181.44573565813548,-222.4239793595647,-222.7091256388679,-183.8894697413966,-230.22916969264236,-170.46038132633652,-206.87270072550544,-165.6663779207313,-205.67900214082084,-207.3999969776332,-246.6874404779166,-181.01588898978113,-205.3065096003332,-205.60514183925386,-191.65052736479225,-214.41547468853742,-181.1146233169277,-214.65709796464787,-201.98461673288946,-187.25007940036937,-215.1701791460587,-168.53736592941254,-188.99239159846508,-245.5472096148357,-191.2119284598577,-210.1941386877511,-171.02327563173566,-197.13994543676623,-185.5598775780611,-210.92794201085047,-202.40694064496265,-185.2812923317716,-205.80229027690388,-212.4783020915998,-213.97843181811243,-189.10220373168121,-207.1389235848634,-201.40594090470992,-212.44996508150956,-196.0900521366465,-207.55649830714364,-209.81912342976537,-192.63528140657206,-212.83697801111362,-209.03481200043075,-188.1607899204209,-179.8390230418682,-171.90542466613863,-224.57547873639174,-198.26545041957226,-172.81922093623967,-196.6789371613259,-219.20852116530625,-212.9321848134711,-207.9217459804443,-205.81596541973244,-221.5949081965782
6,-194.9726235978139,-215.74786367854642,-229.2292697467035,-210.12165584604685,-228.0836722744951,-191.90026049082869,-209.17383344096868,-182.09154335305521,-213.485184784055,-214.1848525486763,-198.58749567668062,-222.97182348140677,-202.74147557529875,-212.00617848810037,-195.2874681636282,-192.194718223142,-198.6660181022155,-205.65647331464632,-168.9355813389192,-176.80129095884132,-218.232768107701,-182.89355301426642,-188.0342895573327,-216.55731254264578,-228.92670459470182,-216.87206769021515,-206.7536133777649,-192.09534283712188,-203.9955215757494,-176.06842173466848,-205.90670530365415,-186.0277901397693,-181.4722824343314,-200.8132086225648,-164.36878131368985,-194.09325035696867,-194.81428051865777,-209.1184839085382,-199.4190348992978,-198.63862635392462,-185.7240008053767,-199.68932199748264,-211.48543222464852,-180.90821751610483,-225.11199530593183,-222.5044054212581,-187.9474368172054,-231.84114532536893,-172.33166051922993,-204.91090996272686,-166.16571733379539,-207.75501109272147,-205.57322869076242,-246.3172974193114,-182.35658196757254,-207.6130627345438,-205.61816068090639,-193.20240588260606,-214.20246143639287,-177.45024784086007,-214.56113542683735,-200.02988734283238,-187.28667712470653,-217.69492501064747,-169.46268679690456,-190.4554004492365,-246.28202626431695,-191.14919669148765,-211.8422122077876,-169.45442765565483,-198.28549409816466,-184.79884246133534,-207.9010256545113,-202.921721037803,-185.96387258154874,-205.54896485334228,-211.1843921277576,-213.68275475219758,-189.70762003912193,-207.12726833440712,-201.0207185002136,-211.51516531760092,-196.33392053306477,-207.75018249943997,-207.306949315974,-191.35073475679675,-216.34586998157613,-209.58371989507353,-187.86925700204586,-179.34242769985408,-174.11166287189147,-225.21239030561838,-195.79845706763962,-174.73389701957248,-196.38551974579303,-219.9542185948321,-211.70687293201382,-206.92132740622142,-206.91061922811656,-223.3560175133324
7,-195.4470505584126,-215.9664353443367,-228.570566467608,-212.16026877453095,-227.37191478971275,-193.1625925534151,-210.62363265253188,-184.17552756867215,-212.11930938980896,-213.43544418967397,-197.36670823200828,-223.50991254454834,-202.06189287826382,-212.20086041650106,-195.69519857497554,-194.15041789537722,-197.0002454190925,-206.62215617939682,-169.18525131260685,-176.80839175339466,-216.18275076583015,-181.0396542752569,-189.96897540726115,-216.17934473614702,-232.0797683583408,-218.89849856984512,-208.11042619088053,-192.11561252633348,-202.74420351267628,-175.95229168430276,-206.04430153141507,-185.93697947866238,-182.36520131274278,-201.97696092111823,-164.5002927775062,-193.45892888825847,-193.27108765639716,-207.8135384382707,-200.987363578381,-197.95326076968934,-186.76194214324607,-199.37078543603215,-211.5071090034103,-179.53131012721582,-225.53674171410304,-222.99611221040695,-191.62635933765105,-232.39999229105902,-172.74119900430034,-204.33027726417856,-166.09140925259516,-209.36189286232175,-204.04832588397622,-245.28790195203933,-181.69065644263796,-208.56511712114653,-205.62236987370946,-195.52772992218698,-213.97527948903544,-175.38458719199042,-215.10080294602056,-197.64898880816662,-186.169748671346,-218.77631982400356,-169.67490342435144,-190.9120017802015,-246.71719808175888,-192.35176123301616,-213.41020003082372,-168.93854436019978,-199.81608581151605,-184.33496067344964,-206.91114236354193,-203.4094014564115,-186.51753928195467,-204.35024593567715,-210.2161936319293,-213.24916098765354,-190.0499055948949,-207.9437453929462,-201.0916058213275,-210.21279759604025,-196.63261731695883,-208.25075210368945,-205.78163777315132,-189.85028481794424,-218.42661336402597,-210.07848970139895,-188.10341074459456,-179.8371252348864,-177.19865782692494,-225.24818388102003,-195.50224544957027,-176.17737883995844,-196.32801805847578,-222.37258406317724,-210.34304199814613,-206.54886449278666,-206.4941132856443,-224.16946109864597
8,-196.3128618399573,-216.55504856691647,-228.2711948712831,-213.12007966666175,-226.16408988923723,-193.9434446273168,-212.6535677560528,-185.46462828157726,-211.57020263772466,-213.42394050996782,-196.49148055349775,-224.84663491065365,-201.07951333874743,-211.271044972663,-195.09485053658403,-195.01936705177414,-194.80434250776378,-205.93805443886953,-170.28537720296666,-178.02005240448676,-214.68344098797508,-180.00730006575853,-192.27030763912694,-215.12246109164533,-233.28352833896403,-219.61452708531678,-207.67944051667712,-191.80643327720344,-201.1229768411504,-176.0855036340506,-205.75489087431654,-186.90111283235527,-182.34244519433517,-202.21040514244217,-164.95393753992687,-193.05625339617592,-191.76690481087115,-206.85115337924293,-202.28446920957336,-197.85982028280176,-188.07912752756707,-199.3282838387154,-211.97115927248873,-178.03886675472546,-224.18689474533903,-223.99893186502143,-193.97663671676943,-232.02784118039477,-171.80173472204814,-205.15088262483692,-165.38728830699668,-210.04299736208696,-203.27307236949406,-243.91632944953673,-179.71792225430593,-207.7987007557334,-205.36926835715096,-197.55603395621404,-213.840488349466,-175.53819869569554,-215.9584418058235,-195.6698250775875,-184.73347617736397,-218.4098308006015,-169.4428532699705,-190.5931239727303,-246.7801464578523,-193.95649377787205,-214.67872225569576,-169.4630944766822,-201.11668607139129,-184.2671277946723,-208.08033450585842,-203.67806880758752,-186.67895317087755,-202.72383022179292,-209.9108093529495,-212.77645962131288,-189.88205204469864,-209.00130730369432,-201.42212918336315,-209.02232157049968,-196.6336683127926,-209.03995836649355,-205.58241025070896,-188.571306490441,-218.7344036284169,-210.44525171855443,-188.79197118264938,-181.04262788028583,-180.00820553479787,-224.6675366960459,-196.98648542833882,-176.83152695422726,-196.15416826436578,-225.4212322098894,-209.67035439334703,-206.55050302644958,-204.7715805956301,-223.87781468198045
9,-197.24743649451491,-217.27707846355725,-228.4047287950866,-212.59588306231825,-225.10999736975015,-194.2968504058683,-214.33121722322275,-185.55914551347018,-211.9424166351422,-213.81870423127467,-195.77886849646217,-226.20848281293382,-200.46797456243505,-209.61601433720625,-193.81699555865765,-194.6534110950318,-193.19777125712002,-204.41244597617145,-171.5274462897252,-179.83674818268068,-214.35610749601037,-179.97737581773868,-194.21560032324112,-213.81290266558506,-232.43917306606872,-219.40741829854292,-205.86450526879094,-191.3622259828301,-199.59421242007207,-176.43366484829576,-205.0580563632861,-188.69017755125617,-181.53236676993524,-201.151826759509,-165.74558874886628,-192.95152637687178,-190.77080984166247,-206.7934705751914,-202.86712813368405,-198.15586397501033,-189.08282573763796,-199.51188130815558,-212.7607470330583,-176.96983416021138,-222.1119504475117,-225.11520553321003,-194.68202564113773,-231.32028939646395,-170.0854857721554,-206.76499523036378,-164.22910292116342,-209.8819112504462,-203.1696123130145,-242.63247006141503,-177.56333023822404,-205.89879769381344,-204.8805225720293,-198.54452487970107,-213.68387720962448,-177.53240054609498,-216.79883238855578,-194.51303904204065,-183.74662915822904,-217.02084360140296,-169.26800701303213,-189.9208986395596,-246.5100246676764,-195.27161730245547,-215.59734088536737,-170.56584379169772,-201.78313162120864,-184.6849587459218,-210.5985155674336,-203.82740836218971,-186.27423027557026,-201.27787890800494,-210.11441824272555,-212.4161418633662,-189.3700952739786,-209.8646228210976,-201.6139061230775,-208.31515062678034,-196.25201254048764,-209.82213222244636,-206.36874597172545,-187.90350866322888,-217.7742597966423,-210.64770963078894,-189.79558081548794,-182.43049148575525,-181.79117441471644,-223.52173652933288,-199.19823024522006,-176.68226454682534,-195.6209389766253,-228.03919501368222,-209.90482818931304,-206.4632262221778,-202.52703541117486,-222.8315178857477
