time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31,curve_32,curve_33,curve_34,curve_35,curve_36,curve_37,curve_38,curve_39,curve_40,curve_41,curve_42,curve_43,curve_44,curve_45,curve_46,curve_47,curve_48,curve_49,curve_50,curve_51,curve_52,curve_53,curve_54,curve_55,curve_56,curve_57,curve_58,curve_59,curve_60,curve_61,curve_62,curve_63,curve_64,curve_65,curve_66,curve_67,curve_68,curve_69,curve_70,curve_71,curve_72,curve_73,curve_74,curve_75,curve_76,curve_77,curve_78,curve_79,curve_80,curve_81,curve_82,curve_83,curve_84,curve_85,curve_86,curve_87,curve_88,curve_89,curve_90,curve_91,curve_92,curve_93,curve_94,curve_95,curve_96,curve_97,curve_98,curve_99,curve_100
0,-195.53151400012982,-224.64937735695167,-197.90780714979533,-184.6387813094204,-202.0674816850914,-189.7324831630027,-195.73695717889552,-183.26589582322995,-177.6832108395096,-158.41657195705207,-213.73490520488804,-193.79772534462478,-198.79855670968348,-188.473151480894,-173.58284941687347,-206.30940484716257,-191.41967729335892,-190.06863381996098,-181.28240287243787,-178.33132883736255,-194.86152543342212,-241.52573841704924,-182.1141396150028,-238.66054467855642,-191.98133103854443,-217.99173582340987,-187.3953254759217,-202.62157340956918,-207.83620798727338,-216.45416858352272,-199.38967352474438,-223.37094397982807,-180.37789588360556,-187.86819498991272,-180.15541144345687,-208.22756179881716,-223.58375016972226,-195.58236144683045,-202.88504772700358,-204.51339805958565,-188.59080833652553,-210.78667822510292,-211.3152680489984,-193.15369650926624,-189.79718337482691,-195.18639988778773,-190.64726217765684,-194.03663363596658,-211.5661917457227,-183.84164295699568,-195.88764874167364,-227.35212473508744,-173.32392808446457,-184.77750798135915,-219.93062497680077,-182.20563575948984,-208.76524702979796,-192.39953769310014,-196.45663912887974,-198.28883311704445,-221.64068994509867,-233.00301500617326,-185.64865417926399,-213.91536406208257,-191.48344241752326,-175.4627774693958,-168.55724823771956,-211.99765890128285,-191.27536251727847,-206.28107573855888,-215.8800033183807,-214.88970863409142,-203.3328785610088,-212.29288787633507,-171.0462887439007,-209.71847373227752,-224.33698501052083,-185.87433625549534,-226.65374059896507,-226.81112719462,-232.44188251264166,-180.8039043127805,-187.29198537026775,-189.1188575301588,-169.22299746202307,-208.46939746829088,-196.23914531309558,-217.12714626326496,-185.61352589516912,-223.6632080055944,-218.8302152833012,-178.14293889182028,-218.5674970295666,-193.24868648750603,-179.00132343466214,-213.9278175897584,-197.59932105517274,-205.12982300135658,-224.3023979541868,-206.0272253855584
1,-195.08738621288197,-228.6529760555141,-194.44445184855968,-191.99047847539796,-199.8975084339109,-193.82767418764018,-191.94539093909364,-186.3931482495228,-175.80130398691978,-160.79329315825686,-212.25861216220983,-191.7706710245131,-198.14910664918662,-187.91098165875016,-178.16815603349076,-196.812430988858,-188.76567650979032,-190.76523508456827,-189.0254979712232,-183.7658142924561,-185.55039730404388,-237.77693320874667,-177.39184639001135,-236.157601743533,-196.08357936557132,-198.98907831840742,-189.22094649792243,-194.49520404833964,-204.1377551804795,-205.7467609311482,-193.94962386046956,-217.79616627254097,-179.39418435349842,-191.86860311256945,-176.47951321931757,-194.87626778544697,-216.3963711161634,-185.13284195333637,-195.36002578283603,-205.82132206869082,-184.63035322562376,-205.28283932574934,-205.8169805237993,-189.72034892866023,-187.12352557239467,-199.55963548564065,-190.07433881872595,-198.0390292113447,-207.2297649750644,-178.15245618406504,-196.72140141485067,-225.3277316652897,-174.54560081114548,-179.64390478661022,-215.16758919772542,-191.30505035344106,-204.77038810018075,-192.67360903059395,-188.37515786820558,-201.49358822126095,-215.37149204962208,-227.56516941110334,-208.85285071131096,-210.2945416238584,-192.33471388266616,-170.01618793574377,-173.1001209269741,-213.2237373532016,-184.75055051618142,-210.20201368531892,-208.02792880824822,-228.7501456328879,-201.9783247346553,-218.219070550263,-163.6970973040904,-210.11136092014866,-223.6620548202367,-188.15298081552282,-224.88319445954832,-216.57231308351214,-226.40460720572972,-188.26743624857414,-186.42999006911393,-193.06564478271076,-164.52153685249348,-204.5340034058402,-188.5673632137672,-205.94912227617215,-177.65272601198188,-214.55574698012782,-219.3889020117603,-165.6018569383224,-202.3470196998158,-190.21901534936208,-177.23778366593294,-203.73383436594455,-199.0166744234705,-208.313656960733,-228.92479541091728,-208.2866811492564
2,-198.7103140505846,-227.06433742111474,-194.6636304061662,-191.51501647435276,-197.46335603012076,-191.42647869069808,-189.19778147956754,-184.86236568520542,-177.25170594547615,-158.6701920722072,-208.05069172929393,-192.68878186053342,-201.47471565826655,-185.6133279780393,-175.32751761674805,-204.29602478964603,-192.7058328984429,-188.76745948008835,-189.6220966407365,-183.13422900749416,-184.83544126580887,-235.59503777176226,-181.7703101499591,-232.71085832837707,-198.42754149036264,-199.35794260096372,-182.44076696777057,-196.89229093228568,-207.3695100248152,-205.03907623318395,-198.07501153021298,-218.45475125678817,-184.6052992673471,-190.86545873135088,-179.73566747383057,-199.35221176050243,-217.06668403518287,-189.84758117380784,-199.17600360638482,-207.2837459911131,-184.40646997791436,-204.64442896803266,-203.79679016538398,-195.66348289226823,-188.93350983574595,-203.2740818541561,-190.61524261305954,-197.992572781198,-206.88267452166616,-176.86675575592204,-196.79580183265975,-223.9557265238068,-175.82511608089658,-181.06879375062374,-214.91774637930345,-189.78240510260284,-204.47277763352903,-192.17911445445665,-195.61262901472531,-202.34246327746655,-210.35151448265358,-225.63926491897996,-200.45145123826737,-208.92309007966492,-194.384645115183,-171.6724163470196,-170.968638275432,-215.30198949066136,-184.33509649178822,-212.62224029379772,-211.55352017108368,-230.19938653538264,-197.19837828227503,-215.5232949947343,-171.86465893954076,-206.83769557689573,-221.34466620783223,-190.18797107809044,-220.61452757032137,-215.0668535650135,-228.3125838936681,-193.90240443601184,-183.9017213769801,-192.72255402339562,-159.99467501428384,-201.66029243113678,-189.1568407782234,-212.89425470228613,-180.35710904184714,-212.65367637784794,-217.78643161610543,-168.9290075675862,-201.77612559697675,-183.49337120070896,-178.42228729425057,-201.82952817021885,-191.3735734501694,-214.5190320341105,-228.59042866921993,-205.93752754603636
3,-199.88570143330531,-225.93688801144364,-195.58381224671342,-190.59957672776358,-198.30644334923633,-189.101144294908,-188.20255988185397,-183.09927143923483,-178.72748335615435,-156.47318626996483,-207.51026188947677,-194.45808008626508,-203.9613450435404,-184.66389952915503,-171.87891180839594,-209.33760672388388,-195.24126800771631,-187.14255556515275,-185.60293265278133,-179.40816878961812,-187.7566643943283,-233.58760900487354,-185.34487313025875,-230.17786144286885,-196.77948388500022,-202.47248984786347,-178.55664300500553,-198.65561179179517,-211.49745360498036,-208.32877687904494,-201.0803154585881,-221.1590525102332,-187.54415492827513,-189.77805091677064,-182.3842994741402,-203.79392000902274,-219.12697719746626,-195.7924185177907,-204.17064088285485,-206.49371216201058,-186.14616593762767,-204.3714834614437,-202.18489224210572,-200.1697350685685,-190.26007059059899,-205.10188455197115,-190.97761954126878,-196.61725324440545,-206.5561056293027,-179.1431691830958,-197.14590289963897,-221.2569002269888,-175.96485835323995,-183.90054996380516,-214.53215834354418,-188.88709727389474,-205.4528266610548,-192.16898438278344,-202.4022167114171,-200.05099937234704,-209.89683418575282,-226.43386125499984,-192.05758024676445,-208.78755941721457,-194.73753491375405,-173.7222080624374,-169.5212995648912,-216.30268287622795,-186.0463003706019,-212.393151597932,-214.11597035499892,-227.65673380384985,-195.1962620573692,-213.7367570755413,-177.81035506806535,-204.84584324161955,-218.33768018929365,-190.9805398230564,-217.44388581735294,-216.03488692400626,-229.82675447174736,-195.3987054591125,-184.09889194194815,-190.5541466462625,-159.0345393973064,-199.0930418737187,-191.34047251492603,-216.34030609009005,-183.48547468474968,-213.19350279038431,-216.9772882776116,-172.64030160450162,-206.63819328783543,-180.38685771099793,-181.09211470996624,-202.3612295957934,-186.25891239976573,-218.7669092926364,-227.0555128129582,-203.4346748856781
4,-198.70377606706066,-226.19669486446324,-196.2916821390974,-190.90036752888142,-201.4284249582388,-188.17346391789016,-188.11466877371345,-182.36453391942933,-179.09171963888977,-155.5078932614046,-210.33701236459066,-195.92308771411717,-204.61709020881295,-185.2772325089429,-169.97775580274458,-208.59249009848526,-195.14970243087515,-186.6531922171431,-181.00951801351485,-175.4270987923007,-191.0253584054356,-231.54214486074656,-186.39819952981992,-229.13172493399483,-193.5480188229728,-203.59600007127187,-178.60944484856785,-198.26486601702516,-214.2238324654128,-212.02913812065617,-201.63848463789088,-223.5603261413877,-187.71625642419528,-190.05696526327492,-182.50413550896783,-204.6114019056597,-220.1522670584823,-198.59921356174638,-206.96944623428828,-204.1143536279183,-188.03750948343776,-203.48535174007947,-201.19789594513472,-200.86582838638745,-189.7767777407437,-205.4002459083894,-190.65440743317404,-195.23586189596062,-205.84172743292487,-182.4486080841366,-197.8255472969783,-218.2827125486201,-174.90320144588583,-185.43533704408168,-213.67474168885337,-190.24367339064702,-206.53149462292882,-192.62426360883387,-204.97997899000586,-196.72748092349715,-212.49053767212294,-228.12732424938918,-190.97556557208105,-209.00963041294332,-193.50019355322777,-174.72892571548806,-170.0199792670673,-216.36754663063599,-187.61939014632142,-210.4147409497565,-213.53927749938512,-225.0573287927229,-196.5636771304354,-214.22004954324908,-178.54063540929505,-204.74086881781477,-215.8164659297031,-191.04925954869458,-216.4735961841068,-216.90678303768823,-229.52191589688542,-193.6710293102122,-186.30573432387166,-188.36551482129948,-160.6725406908066,-197.3520871645535,-192.94875092000467,-213.38573767444828,-184.41832890212626,-213.66882820824506,-217.01952369361896,-173.45098394161963,-211.45543623446605,-181.51343535371,-183.7257934188284,-202.8692261801477,-186.2907567838861,-219.73711537987296,-225.90021308890633,-201.9010675229278
5,-196.92250724731477,-227.0364442015087,-196.7127633708015,-191.85199450183606,-204.88149065168454,-188.08755023169584,-188.041604837538,-182.52845567777499,-178.28924396797066,-155.65206057943072,-214.19646234074398,-196.67188147464952,-203.96507026866954,-186.58428202974164,-169.68126730010275,-204.6105088373597,-193.69902605540182,-187.0930415777337,-178.5903090458583,-172.96220693656883,-192.97883319295343,-229.89519047546545,-186.08261527351226,-229.34156564205807,-191.29150002608003,-202.85843211181302,-180.49729503270888,-197.23033549854438,-215.19535380637367,-214.41335420182145,-201.2298834718325,-224.78848804745775,-186.9538600652583,-191.44573654209626,-180.73153752890568,-203.3738873904806,-219.86149428397593,-198.29999975360985,-207.49687212980396,-201.6102086751176,-188.98385611346689,-202.33521771809123,-201.4990544647402,-198.8107173288257,-187.90525566905498,-204.8818806075215,-189.7748870782495,-194.43137905287765,-205.41786273242099,-184.83526911867122,-198.60033595173982,-216.39167338015173,-173.1192635023419,-184.94095494331648,-213.22342634188396,-192.43508196649944,-207.233087117737,-193.17265128729332,-204.34528444970334,-194.44844927345298,-215.59091248653667,-229.27257210565483,-194.84402510546371,-209.1225226129946,-191.7104312670497,-175.16320235876123,-171.50154822260086,-216.1163120012402,-188.2285619405349,-207.9544558910428,-211.3692049028807,-223.68764091972247,-199.70898528275734,-215.59335286847175,-176.28105382825575,-205.60477959589858,-214.50572334540027,-191.04189832063554,-217.38338504595964,-217.0504520936609,-228.42243587815702,-190.6011634116846,-188.63057049069238,-187.13370525517826,-162.9794090852611,-196.87428129049843,-193.75130558238968,-207.6016260590091,-183.72874596152286,-213.25698270135743,-217.2458470948348,-172.50172140564376,-213.95168535703442,-184.87940191454072,-185.37982494271407,-202.7037950178572,-189.94706434295185,-218.11923913938153,-225.49803827722747,-201.1988616134711
6,-195.84019647971886,-227.56842499409777,-196.99271431384895,-192.51342303462962,-207.30930327558428,-188.07476630623927,-187.57490810498572,-183.0629210173022,-176.7135505411049,-156.33626649696882,-217.01883840938206,-196.76343531089822,-202.8224008036283,-187.6531961368718,-170.36511885744113,-200.66510847691995,-192.42069057766244,-188.00083196920593,-179.12694399733664,-172.5819655642543,-193.20706740544244,-229.2339795090735,-185.79135937026354,-230.21378773526703,-191.13252802411162,-201.60703204145085,-182.2791603832884,-197.0188642443301,-214.8840382338983,-215.04780269483544,-201.1971803634242,-224.93333638149056,-186.80905384127433,-193.11458722671736,-178.433548227334,-202.29261448270012,-218.86333910013798,-196.3783238307965,-206.85857663227685,-200.12976909967148,-188.71121475028616,-201.4737011032303,-203.14471466206433,-195.8215412441707,-185.61624548038336,-204.09850803266502,-188.7965943679091,-194.393292920387,-205.87133700412863,-185.58208409213307,-199.26986104255275,-216.1911972241917,-171.2405249498393,-182.93311112021473,-213.84763148482998,-194.02015418791436,-207.45688049240832,-193.50641506077758,-202.5015676271902,-194.1749312384002,-217.3609714827175,-229.24741458868314,-199.36494001586186,-209.03210636661328,-190.31432830685807,-175.73468237175004,-172.76116882500526,-215.96807523923792,-187.97775808148538,-205.9128940609608,-209.58121234617963,-223.47744129556796,-202.77024347543002,-216.37707523562457,-173.7947663848724,-206.42767352867045,-214.5249968620404,-191.25143339099333,-219.24412675113192,-216.66036075049368,-227.77183649657394,-187.85479247144227,-189.73857317088465,-187.10947795888043,-164.57369203125353,-197.59402121375166,-194.08244081408543,-202.94940127287163,-182.7441800931917,-212.1614839183062,-217.1785637316473,-171.52200375057782,-213.82752407748282,-188.1910160110847,-185.7933590829007,-202.02941578732273,-194.55364521314232,-215.38059651967146,-225.66700410017495,-200.94506306198696
7,-195.77214673227866,-227.41326753285614,-197.24627511247482,-192.34567967217663,-208.303214097143,-187.7707236269207,-186.7930558362165,-183.51514423184068,-174.86465708693163,-157.0401773080627,-217.8180061698312,-196.46826273023402,-201.77372417480802,-187.95842621996397,-171.40175009126128,-198.70235733612432,-192.19843995447417,-188.98203461297015,-181.8520700799377,-173.9328593466076,-192.07384485493506,-229.9374682444457,-186.18722315149603,-231.12823715884824,-192.74190983430685,-200.85275471137524,-183.15663944396238,-198.07236389746976,-213.9478793399691,-214.27564910292426,-201.8920511259975,-224.53687246803992,-187.76074313747353,-194.30661418585774,-176.7574300370987,-202.515560280835,-217.9036367505041,-194.29422149973047,-206.19524377686162,-200.1247564542194,-187.55175944129334,-201.20302396355962,-205.51020382239693,-193.28601805887683,-183.76227469519966,-203.32524968427012,-188.20169969982302,-195.08985009077472,-207.3107239727355,-184.99093841824757,-199.7656789025694,-217.4208860667257,-169.8088170112912,-180.45854789053485,-215.58924565648556,-194.47522216141925,-207.28461738151492,-193.5064428935583,-200.87648344257227,-195.707849767571,-217.1434372884013,-228.17761550119164,-201.6284626019193,-208.8525763849517,-189.79637289691095,-176.76433779886648,-173.141536729655,-215.9907245183396,-187.38248263701297,-204.65046595175048,-209.27115020309577,-223.84701207880605,-204.49921507065943,-215.93263766853437,-172.64031050346793,-206.66303309436609,-215.5133236825361,-191.60819987515077,-221.0756850986599,-216.1212782676807,-228.18347170490784,-186.40758569953957,-189.29385193408172,-188.0443320416204,-165.0068283446842,-199.01716373350965,-194.22658516793192,-201.49972472740788,-182.42283400707223,-211.0206801888069,-216.73782682697544,-171.3954417037443,-211.82704507056602,-189.93060977461573,-185.22226540283552,-201.2449711584265,-197.90078177501476,-212.94614538832806,-226.07039086428887,-200.89538112572384
8,-196.29899725688122,-226.71131231257942,-197.50332425323853,-191.36362962721196,-208.17723096240522,-187.25998590376554,-186.0402275597585,-183.66313324505694,-173.1824453804963,-157.47932292102095,-216.67982643017487,-196.07193109008975,-201.0505144304147,-187.48073838649447,-172.39933152003186,-199.04108069424797,-193.1219564319182,-189.8039317750048,-185.26079874951793,-176.16958834712386,-190.27189773179782,-231.99577722748717,-187.14244268070053,-231.64491873021444,-194.9844691149022,-200.89531220114085,-183.30577436553864,-199.90583905710477,-212.91851749170286,-212.78924084340343,-202.8597184599326,-224.19325313819314,-189.36437450916242,-194.62554621950056,-176.26761989181577,-203.95692971053862,-217.48566213100568,-192.9248300284535,-206.18932542322082,-201.3944160406169,-186.12085064064334,-201.50147106371463,-207.64211890455596,-191.8431447997067,-182.79486415064406,-202.63201752904882,-188.28474842680126,-196.3554440397598,-209.40650897368556,-183.86688712276276,-200.13090909960795,-219.27313794783004,-169.16531796828755,-178.53084069987855,-217.9667823360832,-194.09445183217233,-206.87175726104877,-193.2171569144298,-199.9785524263786,-198.12152398976343,-215.27290616209405,-226.63083685283516,-200.87579407103874,-208.7340777604602,-190.17410617416675,-178.1261705692492,-172.63898865173994,-216.00685520836265,-186.9665753980735,-204.09976886568887,-210.47371123149256,-224.2049964383084,-204.49399379802827,-214.48333404016753,-173.0147018877894,-206.28418370656766,-216.86550897745946,-191.86278252647028,-222.17287673567603,-215.70549588161623,-229.55743828404292,-186.5015347476872,-187.75080575288013,-189.44410326129392,-164.57244821629183,-200.48683696756194,-194.24961634601095,-203.24912904921698,-183.03362153200516,-210.46440215327874,-216.11997180736373,-172.02779343292855,-209.06782867558556,-189.63991587878934,-184.17967137053122,-200.6867187962251,-198.8939841239549,-211.74675237469427,-226.4296499118292,-200.99417667689505
9,-196.75228545132947,-225.88824828236645,-197.73959055015155,-189.9766334416785,-207.55530317661464,-186.87323834041712,-185.6723401852862,-183.49831525721925,-171.97848833681635,-157.612797943464,-214.37327247188722,-195.75993845541998,-200.61247530114196,-186.5894313305515,-173.21014508387384,-200.88331708240838,-194.7160662553622,-190.37815938783444,-187.88828817566986,-178.36655293893077,-188.4869232843353,-234.99904809347754,-188.07784534709657,-231.58661419614614,-196.66087806814318,-201.50214654292088,-183.31481282794212,-201.61572977151002,-212.097728632624,-211.3107926826686,-203.37644117967722,-224.29723567180056,-190.7608966657707,-194.07996856526216,-176.94232105555866,-205.79572437986351,-217.7503612964614,-192.51722406462468,-206.977057935154,-203.3300650926019,-185.02080412679683,-202.12882153104275,-208.68700053332924,-191.50169088012512,-182.73719831234723,-202.0062573107224,-189.06201005671548,-197.9456579008369,-211.60857595435553,-183.00504019533292,-200.45387058663187,-220.82418042461367,-169.42037428800253,-177.78173856245428,-220.2792978865461,-193.519464480246,-206.3871172066769,-192.76713761864937,-199.64042016620942,-200.30894647027847,-212.62703762243063,-225.27495603219012,-197.99212001730865,-208.74400625736783,-191.15748943592635,-179.43802949296943,-171.68532535304425,-215.77793052838837,-187.02461364569004,-203.97883013763874,-212.51213795636295,-224.18592282460122,-203.06445463673688,-212.74333339291616,-174.27370943882624,-205.60619605557906,-217.9712601681119,-191.7865037852796,-222.2385569279698,-215.48706761324897,-231.3429176890562,-187.82598591970844,-185.9178687540208,-190.78797738614819,-163.90767437806508,-201.45429590805958,-194.05361817457378,-206.8707074969349,-184.26794498214556,-210.84826752635954,-215.58507661785478,-172.77377803625913,-206.60022731915765,-187.74771577211553,-183.1926052289825,-200.5134350435657,-197.57869717329407,-212.06734564516395,-226.60531552297803,-201.28720521208564
