time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31,curve_32,curve_33,curve_34,curve_35,curve_36,curve_37,curve_38,curve_39,curve_40,curve_41,curve_42,curve_43,curve_44,curve_45,curve_46,curve_47,curve_48,curve_49,curve_50,curve_51,curve_52,curve_53,curve_54,curve_55,curve_56,curve_57,curve_58,curve_59,curve_60,curve_61,curve_62,curve_63,curve_64,curve_65,curve_66,curve_67,curve_68,curve_69,curve_70,curve_71,curve_72,curve_73,curve_74,curve_75,curve_76,curve_77,curve_78,curve_79,curve_80,curve_81,curve_82,curve_83,curve_84,curve_85,curve_86,curve_87,curve_88,curve_89,curve_90,curve_91,curve_92,curve_93,curve_94,curve_95,curve_96,curve_97,curve_98,curve_99,curve_100
0,293.8907777136124,282.77149335711323,292.5807509195694,282.3819067102203,265.4136229542015,317.6684414904475,309.9652485101903,318.39595725370265,286.6466764697309,323.5495425996265,299.29628329470887,321.44202861880854,274.3822355838295,296.7121410490864,257.46563161151704,304.7418086518062,315.94198926563246,299.1763659268772,285.7661457926019,305.54641389945465,320.3200829526739,311.40501274892995,298.2269918459458,314.8016255458632,352.88615315706807,314.17025658119775,307.64197134423,327.1098857208386,304.5919682807686,314.8422073031866,304.3174782163786,271.5494854514747,328.0446249977156,304.0056677559038,290.5562350540915,307.538085006938,302.1383345938399,307.9327232708955,307.87956517502295,317.8312264025135,301.5561677884186,293.4670764312532,310.13514752331764,290.87234523665813,286.7840197543013,336.37330508586587,289.7250601479393,303.03930738045824,318.3067441526543,319.23456508916513,277.7222322727292,298.87173288385907,298.80843927419767,309.1957638122069,263.0529187338751,293.19874287813906,287.0526216303291,308.1710488398348,242.42523155678685,295.30176484198785,303.8025928355675,263.45618230564867,312.61029054780823,288.39337143346415,294.29417434741055,330.8434160500621,319.30671693705835,299.7154322865444,312.41268815871797,270.3471639301772,295.9944227476369,295.1471596474583,292.81038731275964,274.2589809066199,307.6691823226249,302.64685770962825,290.5701049612708,298.998578967311,283.87149088219155,268.6460081780339,302.5008446015928,310.9014327237934,277.28249670690053,319.7634808499676,318.30938966679463,284.1246569334462,305.378356106914,323.07589906711854,268.55914436138164,308.9503233521878,316.7221183109851,267.5821453075945,295.0384628300081,277.70835310322707,294.3416859142731,305.58951596545853,294.81982435459685,268.85338162954076,296.3786271634016,313.879099104669
1,290.74090821135997,283.6422828013077,285.0680580724757,287.09698055587745,276.7807305024527,317.5963729877586,310.7650995298522,325.9897698990659,278.52002460161,329.96434968189527,292.8597903507825,321.4663137950688,276.91474496118985,296.367838283417,261.37975364968787,304.30734599049146,310.5857086309568,302.2052711984833,293.0774064477335,308.67625024881403,317.87335612604886,298.91924881507083,288.050535190016,306.46970004386156,353.4195314797349,306.9983423387117,301.5018916028225,330.6962619741203,295.6360252975971,303.8744678101431,301.192720005444,268.3556080372406,316.1709155549356,292.9714582230332,299.42655917877215,306.2208927696828,304.30574084298286,310.4466026571139,307.0933871850965,321.29316141450556,303.9234036616358,293.01602895526116,311.6083183380263,290.10676027900735,282.31291731578926,321.59607760363036,279.75527205235795,303.5953849073946,307.97274876890253,315.61085639509804,283.80206820970136,300.8724652452113,298.7217466378133,307.9123331184108,265.0620280203834,292.01113265142504,298.77792762331967,301.32349813422536,249.63983179876112,297.73415502657906,305.16887915475616,266.5864386177082,316.2013762558035,297.25299631763943,302.38008619057103,325.5784806091552,316.5000918713628,304.02456476071177,307.3931253948587,272.0338247072138,292.44043449070466,308.4522521042868,293.34310331547204,268.66338931450093,301.1754463993983,309.32046055542764,281.73850532898985,297.4801814975004,278.3970990119661,270.8626052086682,307.7390125980735,308.97296227245283,275.44049334238855,320.76452255379434,313.85482906334136,289.41209965696265,296.0387663501293,330.7838394057319,272.37555297861996,307.53277760942854,315.9591171170591,261.82477501359074,287.55089162060665,271.7840708858296,297.2276348317091,290.8878423580863,297.4952079703961,269.09565985148623,302.4049300382806,311.1685294999042
2,294.6971958064247,286.04068330959126,285.8653972928762,283.0284304941871,274.2462479988764,314.4420678031291,307.167846907187,323.0410919478133,279.16817324678726,326.9942200177311,291.0139853556587,323.9563565771368,277.6080172022519,296.7271101429688,260.4666244034576,301.9966544509952,311.2454237204993,304.0575322512033,288.37760558983865,311.1209976684774,318.07968348500043,299.75496821702205,292.5764915028586,306.0460335490552,353.1151441651002,309.3878319278615,298.03847504327274,324.95296547559735,297.44806540336947,305.63705954708644,301.10566431532425,267.70598714158615,320.3707868794048,297.8031501343201,293.8805134944267,306.7478209931659,306.07926553008156,304.5123859143724,306.4661403558799,323.2323403490273,304.8891495681259,291.1331604136487,313.50926495012015,292.45938279378447,287.48797888812055,322.8221370647039,278.53104101880916,302.787052977482,306.2190583542039,319.608278638836,279.60147434655084,302.7623222131053,299.62803094280457,310.4275625938334,259.46759686640763,289.17977253536816,296.9750042027706,300.8462803652916,250.27717398826897,288.396183830693,305.1849348118038,267.8204385616704,321.3434701291128,299.99834902084035,298.43680120418315,324.3874714914755,317.6803928916031,306.39712013110085,303.7561571883525,272.2140289715262,295.0905436295235,307.60960661389356,293.87225073453624,266.45176130089686,298.24848441616655,309.28176287992176,282.3777351161912,293.30671809521857,274.1058703695577,275.06841521716734,305.3547627461931,310.7612767623323,271.39190635844847,317.84734152139134,316.51093660214144,286.90556190048954,299.8215181075475,326.9155189210622,272.84265385706203,308.09173271148757,311.3752158856192,261.2935436426818,284.95609192919414,272.0638429068728,301.2073074783384,288.7168131626494,295.1849895254578,268.4240016557743,301.05501924835227,311.09690619090617
3,297.9184073420779,288.63276659119856,287.649540890589,279.08996602602383,269.65069400127874,315.05190054369973,306.3490474778656,320.54457094088326,281.30366192064,322.82926146093206,290.51433890018177,326.7542762356858,277.5125144526668,298.74726093326154,260.0225554851644,301.03694794779597,312.6540741569699,303.71343238963954,285.5443287970763,310.874710086941,317.95526001858974,302.1984622273124,296.8754258683403,305.8918886251257,352.6459114613197,312.1562357858234,297.6570906365506,322.0069814635637,300.2168432917608,309.98429452344993,300.9108704861901,267.59245742433217,324.88784253575807,302.0602610179163,286.80668770834313,306.09992972617675,307.3812844467839,302.29242407228213,305.38227489954016,324.6201208425883,306.77642915946615,291.1283845963059,315.03533829699177,295.75687483440026,291.76989998058787,327.69437203989196,280.5815812666647,302.53871625530235,305.95635029511556,323.3191914494311,277.3181282244892,303.03431624020965,299.71603149372163,310.4827223701317,256.1056515088511,285.9520227724145,294.72750933590936,299.33972634762404,248.82191701355148,284.3281159992191,305.4842819102713,268.3351016765211,324.92829007375815,298.37318064123116,296.89034076431363,323.8648082052962,319.59273604129476,306.22155829325385,304.7046191189355,272.18691358436996,297.27743563406256,303.863877924108,293.9793096269247,265.9830042586141,300.76277032777057,310.25930964170396,283.73441927260666,292.6409711245814,274.43585280861413,278.7863351306869,302.4506675370895,313.93179761277366,268.5455999702313,318.005566420659,320.84357582164864,284.6539737168973,301.9407019801417,322.85053150995316,273.0205775487323,308.292801374606,308.8812312675868,261.43555085042755,284.72945234887817,273.3944135885411,301.97983129502796,290.44268595073737,294.4457311230911,268.4269966077244,298.1803750839584,311.11061905956655
4,298.70126676015786,290.5447575623873,288.08432679482127,277.45363505342294,266.52593005659344,318.592301916975,308.41775480765943,320.17911108493416,282.68056926842416,320.48853000123137,290.66728969850965,328.8165644926261,277.18173652616616,301.3990538742119,260.8854169411799,302.34281786621693,313.11719993937464,302.4535025027481,286.31607580382547,309.69492830211215,317.1789608296964,302.8882503468767,297.4167173653314,304.7077558847171,352.10734778993566,312.43156278384254,299.20597260312377,322.99077492267713,301.2372036095695,312.9524500666416,300.3335459962676,266.7617370633386,325.9880544842835,302.31147603137134,282.94851483913976,304.475935565337,307.9790099150232,303.9339294988281,304.5542504026892,325.57658089902407,308.9984594515569,292.9220967105103,316.203849785759,298.09550168723524,293.19581014929713,331.2956243024354,282.9125299140011,303.2406952895189,305.6963503084728,324.8825619368446,278.24340950410283,302.195292415692,299.15905539645195,308.193106162911,256.6194540028129,283.64604770589045,294.9202783949706,296.6861448178115,247.3491331734001,286.26757726973625,305.6461070979575,268.6084617354354,326.27441844259135,294.718643641847,298.96188062840685,323.4352879058499,321.1445026137597,304.6459959032037,308.0696842159395,272.56965364472387,297.2939847573579,301.5034666538178,293.657934551362,266.3072802151225,306.184972329985,312.7718857538924,283.61838516981265,294.64339147143227,277.39533351664664,280.38605375371253,301.0820351015328,316.9045143706812,267.4446438672477,321.1817703167228,323.8084083302008,284.30575738232506,300.227453675432,322.09158671010897,272.73748626464374,307.8548640965686,309.03518331699286,261.4694377652437,285.70397473055544,274.8310720617373,300.5835255935414,292.47330991824117,295.718365020588,268.85768322551024,296.2987771816164,310.61571859412106
5,297.7974079753437,291.49176444373995,287.1693178851967,277.5286570735605,265.1083766784477,322.3836192758598,311.3222530514662,320.6981654162702,283.1339624553427,320.34417827288445,291.43311688752755,329.8514868575876,276.8547811163542,303.51833562868194,262.2190146146507,305.35020685545885,312.6559004441807,301.59767132640343,288.444544844913,309.45732601969655,316.27793809685494,302.01177060108205,295.2189307054333,303.34146436943433,351.5242022491039,310.4936197137711,301.39413208116616,325.49028051172246,300.81146071400514,313.8067196049441,299.9175809353415,264.98101774640486,324.6336287409566,299.9834820723228,282.7502369829362,302.841729892642,307.79744280580036,306.4372042075606,304.5602970127233,326.0274974549557,310.5507618076217,295.38468675698374,317.18814357544244,298.51570067398427,292.72786359564583,332.57615567258654,284.28453657810155,304.5365040277205,305.7741466067893,324.84706544063687,280.1853318855722,301.19792877282913,298.67654040629645,305.4316511145317,259.4710853173423,282.90174622830114,296.49887407173355,294.63173652455026,246.523368980559,290.1836555451,305.07035938684817,268.842024404981,325.8952897822497,291.011098231106,301.92817214985394,323.32721292141406,322.186026792382,302.9932865936783,311.07419022053654,273.47357418103377,295.6824026202547,301.2782553798835,293.1810503564475,266.9062134692195,311.43040401089195,315.33224898001515,282.5356152932595,296.8928039072845,280.2896841267771,279.5332541693917,301.0379951027663,318.8718339185968,267.55536836529893,325.04290722170117,324.3978040292744,285.1813976743418,296.76193518537576,324.27678944145856,271.4088736535106,307.1960909927745,310.62240988055464,261.7354434536498,287.2680779545813,276.46918520780383,299.0576178221216,293.7267704644438,297.57367870829074,269.1253682099933,295.99756285651387,309.7583557775557
6,296.46185285217626,291.63285467539436,285.6838628519081,278.11960764053924,264.8129103237565,324.4955492116536,313.23613669229536,320.8548446553102,283.0478358559303,321.68466231086563,292.67903647375266,329.9917213083587,276.5947177821476,304.508897875153,263.010676842511,308.8474280967632,311.85972478860094,301.72611445057265,289.6440834162717,310.87004294064536,315.76148863915665,300.71155648495414,292.26626558913307,302.75951485293194,350.9879459914677,307.7427257103144,303.35610144182886,327.13670454832106,300.00935672901244,313.1733498509659,300.0775090879358,262.7607185409764,322.7209938413723,297.274698694803,284.8491360580375,301.88187042912443,306.9881102391161,307.54783670682707,305.4224724259934,325.9728509666518,310.9602923880848,297.4760634343222,318.06157578843454,297.03441987335896,291.61159247155877,332.14733583485327,284.5442440999717,305.84043933669886,306.6037843380232,324.2659648562776,281.0330943645605,300.72188071173696,298.8264950156786,303.71223762099004,262.6260669968921,283.62487442113814,297.7484242245918,294.3991863957588,246.30496450067363,292.609174320876,303.6511165887122,269.14541353105386,324.6859970554202,288.48194209713995,303.40720684456363,323.69140405092713,322.85797034117815,302.10287768853516,312.1915496919197,274.70132541973067,293.634366350376,302.4825320079435,292.8951870901805,267.50079322306624,314.5029207037205,316.76073806036663,281.5905722312319,297.74157042261675,281.58592175552536,276.9331053825057,301.4458997199971,319.6465129439652,268.19041163482433,327.4500090729906,322.96042741570386,286.2632268990252,293.850129048066,327.68609734026666,269.0444684322822,306.7724907680324,312.3807578848888,262.50525521136495,288.9917571747079,278.2328070628543,298.6483058067415,294.18657277817573,298.7143018397049,268.90595241503127,296.9134097307316,308.82554146952714
7,295.5991057843356,291.3378663527017,284.3826621171834,278.3921944641538,265.1919745178825,324.4329029547037,313.3835194519817,320.2990655574074,282.71279565824074,323.5945711989189,294.0566192901563,329.5396804400232,276.38498669019157,304.40424948429825,262.7137421322749,311.6350764080461,311.2663378901341,302.69027993310794,288.97250529068543,313.4691101627205,315.8259646224818,299.9071813615776,289.9797574323937,303.3285207993705,350.6248233173893,305.53256340114723,304.7346444559172,326.8564051844567,299.64140042180645,311.967829714949,300.81739949524797,260.9000377897063,321.529796125598,295.55455611101894,287.5545592023462,301.74906225269973,305.8676755739793,306.7684714082229,306.71198179811506,325.53754018908455,310.3918362359617,298.64734355878755,318.7653960957159,294.35460052577406,290.4940676179265,331.03424482073524,284.07547410096896,306.6433949524744,308.1300071095417,323.88517550515724,279.9725580843562,300.9746873615865,299.7645116674664,303.55907142471705,264.7247466027766,285.2480981073721,297.66761212806216,296.0691692362867,246.4104624374855,292.2837613014847,301.79399805052986,269.5902931769319,323.4500584490471,287.5952066164731,302.6821276374459,324.3774545682509,323.298649540883,302.2105150813301,311.3742129957775,275.9264648541534,292.1645328426009,304.10955023282133,293.04385575891126,267.92813279024693,314.83022520317724,316.8226346981371,281.54089691943653,296.881885761154,281.1678480199974,273.80148644428266,301.57093214838983,319.4438843490806,268.8856859442403,327.4187529003501,320.4871373102784,286.9381397770756,292.61102274425957,330.6418210711633,266.28440749438164,306.83307174271545,313.6081823222818,263.64867768470435,290.5038425798604,279.70004424967254,299.46849758366085,294.1565119791167,298.62984671430195,268.25101853318586,298.3699728863357,308.01554265835625
8,295.5466604381236,290.97655429426754,283.6772047844473,278.11996997090455,266.0980329971286,322.85034093125705,312.00194914822123,319.4520192353307,282.1834737312131,325.37177770843147,295.14795161928464,328.798458803928,276.1890305451765,303.6387327828696,261.36719061055317,312.94075981817156,311.10991734501977,303.9483238599755,286.8196074011545,316.15925472518524,316.3633848925783,299.9507481559373,288.8639292038804,304.79894428773963,350.51926676283824,304.63316954854736,305.53839753335046,324.86068512115355,299.9633680891865,310.878825095709,301.80165020672314,260.0760808744044,321.41028608933595,295.12274909926623,289.5991805581829,302.1961302156186,304.80656749853176,304.9519202823641,307.8427330948914,324.9214340856993,309.3859411894492,298.83856034777506,319.17493544284724,291.4709862887885,289.4325764196258,330.0698770828559,283.4007068870392,306.65927180494725,309.88873908065295,323.9589043237626,277.437057693715,301.7718860172621,301.2711476389881,304.64470716675555,265.34889415856645,287.0665044088047,296.23314128626726,298.8445290543625,246.57625852350526,289.88531570026794,300.1518563649469,270.20607922632445,322.6850170332279,288.2162030920747,300.48971973580177,325.02777938217315,323.5599441567276,303.0935264850566,309.5328394702855,276.83310699391984,291.79243806981907,305.39224172207093,293.6688162596537,268.07821342676823,312.94104308547537,316.0347184325067,282.54446292006935,295.0214600303642,279.84815020809333,271.3371483517123,301.09987277193653,318.6665259533744,269.4654834328095,325.17885603090707,318.03228751858194,287.08008430267284,292.9467386403773,332.13569712117965,264.0330200689159,307.3981686818101,314.175994440425,264.7316141691037,291.49531651859274,280.35383137392483,300.85131115891204,293.93547891958906,297.54174040861074,267.46000758648375,299.74916707509794,307.40281168732525
9,296.1772241469617,290.7839395006098,283.60400588700423,277.5548832160509,267.52145769907764,320.9190602258998,309.9269839598977,319.0158256586305,281.36752140522833,326.6529131635065,295.6600917240805,327.9840191168791,275.98024483726226,302.7523725878268,259.4390607747617,312.5830598587274,311.30566089547636,304.9378752615922,284.3053076028057,317.8377938376197,317.09506551991774,300.7076685762124,288.72124355343595,306.5822916272323,350.6601401249643,305.12145864816074,305.9397895403588,322.1060036480912,300.76574255505557,310.21299604008897,302.5628816011061,260.58657726488684,322.0458988533789,295.5702086691587,290.39710140654023,302.82495029284985,304.11984337713744,303.4279237122656,308.3507891018734,324.323230266444,308.5238589225922,298.30104850932554,319.18506195262495,289.3103906289874,288.22922858492683,329.69040237733316,282.9348257746178,305.8583183032717,311.2900669725655,324.36938416837074,274.5307454147538,302.7295134090888,302.90516526800315,306.21901316276336,264.8204072279812,288.5093928700702,294.1171101996616,301.6140848733687,246.67417324471722,287.0327227122433,299.31558812832316,270.9625537709801,322.54869559934815,289.85299751047825,298.2243998010561,325.269792540061,323.6260840151554,304.3030919263686,307.8321416614951,277.20610817813304,292.5304522671342,305.9665711610759,294.5997919205203,267.8757222316982,309.91514661588496,315.19095074943107,284.26935754062356,293.26091340813053,278.6939088781722,270.34330233328757,300.1266275233225,317.73090821364747,269.9591808414626,321.77891004907394,316.34515891070913,286.85949166942316,294.0775220072229,331.9528845227034,263.04187014768274,308.3332967440721,314.2976644374082,265.2636819930727,291.76600862488596,279.8891703247434,301.9036690139429,293.7191785833859,296.06367273609516,266.8866178635049,300.66493863945084,306.982814873591
