time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31,curve_32,curve_33,curve_34,curve_35,curve_36,curve_37,curve_38,curve_39,curve_40,curve_41,curve_42,curve_43,curve_44,curve_45,curve_46,curve_47,curve_48,curve_49,curve_50,curve_51,curve_52,curve_53,curve_54,curve_55,curve_56,curve_57,curve_58,curve_59,curve_60,curve_61,curve_62,curve_63,curve_64,curve_65,curve_66,curve_67,curve_68,curve_69,curve_70,curve_71,curve_72,curve_73,curve_74,curve_75,curve_76,curve_77,curve_78,curve_79,curve_80,curve_81,curve_82,curve_83,curve_84,curve_85,curve_86,curve_87,curve_88,curve_89,curve_90,curve_91,curve_92,curve_93,curve_94,curve_95,curve_96,curve_97,curve_98,curve_99,curve_100
0,297.6731102725152,305.6479130454926,257.54484557033896,291.3839023427296,278.2716413973295,290.2558080701374,284.0620472752793,317.48407605562664,288.82050378866256,312.5013774548123,305.858976894615,282.84077795265614,322.10523884405376,319.55986805161655,336.9290536822944,316.8280577045598,314.77105432008335,330.67119784839616,309.5558489362937,277.87333404190866,355.2192282043615,302.4709766695083,271.49097878930553,292.9782258439021,316.61757549410237,262.27358969812786,344.7163069754157,326.3123910278613,303.0985633829396,295.8321616502682,281.14895496211017,310.6165059845695,307.1633939016265,309.9374019928944,256.98452454417344,305.1201067833061,316.81363460102597,328.1384958543175,304.6422658314996,302.55045843798484,291.0618782071586,307.86363391716964,290.90569514713275,309.4107154386431,305.1999167077833,305.25163205799,294.88468576299147,324.2822590004729,284.37630868973594,281.15763113417177,283.4622781542425,296.94434908346454,299.1534888264192,269.85379742890996,291.86690292337175,308.4755604593667,317.03948735308455,290.5536793667639,298.61394633482746,304.82363055311265,311.7043255224941,275.6425530160403,340.3665345974904,303.7092433770582,348.3160684493194,310.75736532463907,316.9054356789149,267.7746741463867,299.02716420921354,308.88627010914337,279.05055705302135,285.11681492000946,300.70268092131,321.34149952109084,302.60867815946705,312.31839900690005,275.3545438995635,310.7972891735834,275.5463738803988,310.96606114029254,359.5339876053079,310.5826155907004,302.14878639330385,294.5314942278407,297.02828736779105,279.4671527255212,326.470043332983,295.6351147134233,321.0741935764606,328.3225792832034,308.97129265437707,310.6468473405102,311.64240018304315,286.2544891739209,305.2667027512456,301.6252376488618,306.40690487782916,288.54777854134244,289.9895899065952,279.5532971879658
1,299.7916439164628,303.454714944103,262.9565766026706,281.44788622987204,283.8806576013089,275.1661377513951,287.8081273505402,307.1996519811066,292.77608379080385,305.7392672358468,302.5002499794444,284.29750157668605,323.180729228966,318.574928445115,331.6362775921493,322.55123093957593,316.3693326581569,334.83224924394153,305.9300496591136,272.9779633894171,348.4146440780374,310.9495278777962,266.5362634735095,296.07534995404376,323.60197874354316,262.2698774723884,355.38708310427444,332.4862886522482,305.8108721780594,296.16103220759106,275.02058486165225,310.9468420363545,305.829028837184,313.58824266597304,265.43030279969827,313.92390218874255,312.22477121431257,322.55481999959926,302.7668209043261,313.41990925917673,291.2176383049606,307.20432480704665,302.6121206734292,302.0957325444048,305.33926401253854,310.16379135318556,293.69128607691647,326.82970222123146,293.378523633682,290.33878271629277,281.30074351118833,301.09594086064635,308.4127653743776,278.81585261553363,294.6050728625294,302.65334773889936,320.7329879593449,288.40900173098123,291.6229781296995,307.72814919082515,308.06118353735553,271.55212294285474,336.8407664655003,300.6908995259072,345.78721151337726,318.4386204237477,326.69961351590837,268.8342468761683,296.0518423969199,311.60430274627026,283.24595274795,284.52294308310104,292.07166847797686,326.37471577736176,297.7882024127024,306.14897579732195,278.30315141113715,312.98004657202245,278.6678198709487,312.50036765515233,353.9377989348978,300.96174010350023,300.51303532449634,294.47415029720486,292.57305087501527,284.25072093794466,333.1765871522094,288.01638978691807,318.34485311823585,327.45488372112317,312.2319328807445,317.9646075027495,316.44420339688514,275.88757964394705,304.89274516936763,296.4255335842173,310.97197757567415,291.9858801625519,295.98344326058907,268.46150581288214
2,300.08571188019175,303.20878608973743,264.9869587904996,282.0745451032576,282.1719295887186,275.48672311659993,291.97865182706977,308.5644725107649,294.67637894563006,307.5202711977571,303.4278826381079,287.4197451542141,320.79674597147056,317.2888298384497,330.7623411342446,318.6830802463457,312.52279847499136,332.89259658596814,305.8553025285323,275.43729706504087,344.7803144759591,305.75676015497794,269.1961940115853,295.57480088911274,321.0784655263647,261.0381203814193,351.3603568440223,339.10767364966836,304.84587649340574,295.22286915094884,274.7834275864675,311.2923953835205,303.32866508137806,315.81273634744105,265.77689212308246,312.12327512494466,312.63369204875283,320.1412454531652,303.0934979104457,314.7264775598995,294.3609977461004,314.4782079322843,298.78490642477567,299.51595293686535,306.7975070560983,306.4458730972221,292.487544075957,324.81367887499835,294.07733469407924,294.10668045446425,279.1798467513096,302.1262278427468,312.05694461444347,275.89148367759765,293.61456744485446,301.47461054919825,321.7372747242618,292.75777029831255,292.63501547176264,310.3106753251971,304.55312827583526,269.2566784448013,338.783829548075,301.8280723038766,346.79387228344945,315.06493069035315,322.82457382776016,264.44339997860874,296.21131669447254,313.596052640731,283.7480875910993,286.9195516104854,292.00689798974815,322.52441958538293,297.9175621505084,304.6479755546422,276.94626749210755,311.6862759009441,276.3713998358117,314.1670306748925,352.31323212353556,298.84935790060973,301.25300769453077,294.2459566624238,289.595184721442,286.5534652617266,334.5673419006245,291.79939494969005,320.5978042855486,331.76230092012406,314.0746600669245,318.77023873396723,319.08442462695194,281.7917050375336,304.7466258828487,291.98874024640253,310.26518124697213,289.02394362971734,297.6553719639449,270.2468923212085
3,300.1493693569323,303.52767027175184,266.7596075216964,286.49251445224564,280.19602836022364,277.58300060874217,294.9350221496671,310.50841740520366,294.503797917204,307.9180752398744,304.22885793469806,287.5117481959765,318.26796469457724,314.5885802931093,331.6502884553767,314.9236203828067,309.767601941705,330.83404718897384,305.25895059720926,275.7186775475159,342.73536762725706,300.63093335391386,272.148625670177,294.23958222463074,317.43710898124505,258.657551196243,346.5587774736425,342.57282580707874,303.80269738057865,294.2583860721745,275.68398433059997,309.55935242894253,302.28682068910894,317.53600758193085,263.4514508797996,310.2751825688258,313.51956298065653,319.1488019197262,304.41620850419906,313.64083724098407,296.2359241468294,317.68773507894196,295.86379023860104,299.17004203550545,307.35125735272595,302.45423313042585,293.11576011633247,321.96746548928104,292.0594817529338,295.65623250722757,279.14628055852404,300.8823400206327,312.58589814069893,272.00840735721346,292.5314896352316,301.3255498065165,321.31472068236894,295.30944580588266,292.95385272653414,309.65865156757565,303.53376363809025,268.0648547760924,342.4814623488545,302.2041928634001,348.736396510992,311.81806826831314,318.158667182367,261.19517406099527,297.93492059534583,314.9443003185375,282.59792207665595,289.0054113141704,293.7025033520849,318.93784523915815,297.75924719559606,305.9460490421269,275.36020379822907,310.1366328671018,274.9191131270094,314.27578520318565,351.84466247923734,299.5293854283741,300.88672512267107,295.0400201597638,289.0351366846154,287.8386604691272,333.6153827881892,296.43150691216965,322.5936226531268,334.4478887868169,314.12652393598637,315.8120407287128,319.49005626343563,286.9028645250599,302.83052353338604,290.2238693263244,308.6047926536587,288.1306325958937,295.22784432262426,272.89255264155616
4,300.42725709601893,303.68126593222394,268.1821719131226,289.85810079918406,279.69235756203983,278.1652486438194,296.8095009107385,310.51977051488666,293.2809270227807,306.1451425132889,304.1630892089687,285.3202699518042,316.85228988338787,311.6882167541565,332.58440496100206,313.73083773064155,309.668837130845,329.8267158493628,303.9451367936589,273.05969256313915,341.9973197693929,299.10528417709077,273.4756307169185,293.22066273920206,315.6808027846699,256.4797403869877,345.14467832836704,342.6989458332013,303.281153560365,293.7691841361239,276.02884761345604,307.1657219412303,302.50056228827214,318.6606794782356,260.8604690912591,310.7258845953361,314.00687765642897,318.5164024554982,305.42017204942755,312.36894245031294,295.8503123383621,316.56364316307486,296.87349479725475,299.78152165179665,306.9077888823029,301.1036249909429,294.9290828162721,320.2036290940323,289.5787986484796,295.82621960084464,280.7405633395789,298.775429205866,311.7834849367225,270.5017036199335,292.12448099941054,300.7796699661791,320.5696432234253,294.77170971027886,291.25874539365986,307.2233443275147,304.4281598590874,267.792256183901,345.8560762152012,301.11458850003015,350.1543471008003,311.3981577515001,316.1495090365921,260.43264038152233,299.987584540803,315.8101721921536,281.4859399476262,289.9768903693524,294.202030869103,318.0399950464245,296.5354434420999,308.20452170456576,274.5897355955063,309.4446880461248,275.0202527338512,313.11191362101954,351.8518679518643,300.89778123733225,299.6741607742629,296.38532515485366,290.17277960715,288.5726145519715,332.33179931443266,298.5647341155768,322.60841276745293,334.7364553354591,313.417587437837,312.0220405875196,318.30112124266753,287.07275967453484,300.46088891486465,290.51433411474943,307.71554292388106,289.9197652819796,291.1288514968474,273.44373296573235
5,300.93558523996626,303.45390691919346,268.51500331581815,290.05929846959737,280.28899203196585,277.8055988646117,298.0307306283867,309.3093875313381,292.0805408521008,304.0802810872292,303.7272084016758,282.88332442865004,316.71686360414316,309.8878245703969,332.8892115036599,314.56663995258157,311.5266255525051,329.3938563962596,302.73614132257427,269.4907649024215,342.4504516999232,300.38113344346374,273.49622168260265,292.8347253113902,316.11136014639084,255.53100006574792,346.8113813328791,340.65250298036153,302.9660450971343,293.8456865453896,275.68444175406955,305.74656038307444,302.9772615718733,319.0297915996945,258.96143867194024,312.5021963583985,314.360545978621,317.73478493037373,305.4216359952482,311.29859118990254,293.83791183323075,314.11892198276723,299.97539975267307,300.67471805912515,306.03772032497665,302.3855471938968,296.7489497599338,320.04539491184386,287.4284594881414,294.7861360354988,282.7730906181495,297.0085740537153,310.77752801608784,271.18929278260595,292.1322666796874,299.65854389625395,320.0924350515059,292.47184809779685,288.7963100049426,305.0967336323055,305.8731508498266,268.2973750741578,347.92974785913253,299.3406946573026,350.54630667977057,312.93725969541,316.3591382773258,261.31510472103395,301.5615971730687,316.26610904216193,281.094327746784,290.01181951854437,293.0124725805483,319.3424086651635,295.0276863125787,310.2095245289328,274.5066797173117,309.664595252557,275.68047954525457,311.4895852403068,352.31031736433295,302.20699532405445,298.73209880085136,297.55586566956543,291.92144959252505,288.8393400448162,331.6642182400748,298.2540633669991,320.8680872070592,333.77791407818745,312.88284999486626,309.3878266413062,316.33116968447445,283.5856305014237,299.23625979136483,291.6714578877796,307.87364402365597,292.56777815569666,287.6461607334685,272.51232998173526
6,301.58976229605315,302.94993367420545,267.4362165425805,287.2555988888597,281.1552545907242,277.7119139852508,298.80399790522455,308.12787230427716,291.59157880486,303.3043176927399,303.4900992462271,281.6724688050634,317.5364336823271,309.74798283604855,332.64136531580306,316.166678029015,313.9897026397849,328.91870663545586,302.23959711212524,266.9619370045345,343.7646265890658,302.56258757185265,273.0524979191853,293.02433978739884,317.9485137809595,256.0319599965199,349.82657443845915,337.8159130423441,302.5503878409064,294.3786511442602,275.1141272554033,305.9665243500432,302.9130935767561,318.73487139125206,258.05897517700504,313.9944127719931,314.88690941637753,316.7029964013391,304.45033793035407,310.4436197671712,291.35456440722606,312.8111499892494,302.74370797109015,301.46987184994845,305.2799016936824,305.07555368058087,297.7473786370621,321.15844263191144,285.8638533881226,292.7644596320792,284.23041177408356,296.26928552046616,310.1489513168165,272.76361319915134,292.16383490837757,298.3344138977408,319.9985337516304,290.09084600582474,286.9927872852061,304.5015618022326,306.7715414798702,269.33940404152804,348.4497219009728,297.78190656643966,350.05911329862715,314.74970642871506,317.4033194689113,262.5368948609641,302.27235731742945,316.2970114466197,281.23661333433705,289.50653190412993,290.88805731682675,321.54965869451314,294.1144160708867,311.45207254139166,274.73032114417805,310.4388845418999,275.9715389979403,310.078472970816,353.1922472464739,303.29774220314505,298.7813569946296,298.1363026953082,293.44756318877563,288.6631563345088,331.7535074527655,296.71449965145774,318.4081061164735,332.7428199800877,312.8974182447035,308.7041166480125,314.2905091184385,279.06662124070755,299.869774918294,292.79309156349785,308.70022981896693,294.3825207475695,286.02892836255404,271.43552504295025
7,302.3122205931723,302.4062841967262,265.24378927130823,282.9147579001791,281.69576157327793,278.49016943613935,299.0859862953938,307.71143757912733,292.0275322067841,304.21373261611035,303.6892460681815,282.09559907297444,318.8410202926703,311.04885262846767,332.27014984463244,317.5489010922135,315.9013673072599,328.16408721776384,302.5408920677553,266.3504344512794,345.40891006350023,304.1613080036943,272.7455110034844,293.6070955113051,320.21756537451864,257.5143880779853,352.5670466358477,335.26247481158657,301.9950246037109,295.1876612000945,274.82497206509373,307.479587803192,302.0161136231492,318.0872886638572,258.15958331042805,314.17029599431726,315.6225421616229,315.58322946057484,303.01465378160594,309.9154182101574,289.4195758424929,313.42389061267755,303.8128720402778,301.9594462039245,304.90783309311905,307.7876570926075,297.68171778276326,322.8399282559946,284.97309544436285,290.22304583276724,284.616675636248,296.7077416320974,310.0677595777707,274.0213985217782,292.0300676391137,297.26920444992084,320.12677325247796,288.7245795617114,286.5576464689319,305.54009050650876,306.6536928460419,270.6023123057718,347.61700070045646,296.92999208773966,349.15958594642575,315.6233448876166,318.23774906562835,263.14086379626275,302.08877527579125,315.86727931756974,281.3049253186564,288.7701401027068,288.91053496996335,323.5572262128785,294.2098143477831,311.9547966282442,274.9874813948046,311.358660994171,275.57859806711554,309.1958218878736,354.2869736459085,304.17882545363796,299.8481988245797,298.11072379188033,294.363779644763,288.1398243598802,332.30016614281186,295.149821288982,316.324063657248,332.204491255853,313.34237813470577,309.79491770199394,312.6741525272587,275.5896571877947,302.0738685546164,293.48399848921366,309.6639718346641,294.65785698368194,286.4251528911559,271.0925294320882
8,303.037866014849,302.0480766969781,262.64300531518654,278.8298019050802,281.7072961704333,279.9896151020692,298.7502701627204,308.12338871196334,293.21973257311976,306.2014078244524,304.22762105362756,283.6980413911414,320.19929795828074,313.09901098074124,332.21003718489357,318.28514346024014,316.63488657343635,327.2764905390793,303.3383053171489,267.47686369532744,346.82076207615995,304.55146360136854,272.7409599473672,294.3930400917628,322.1612931066177,259.17863715796454,354.1039032278177,333.5979236535824,301.4674193823585,296.0925474523644,275.1106764616564,309.3812474908281,300.4677969650244,317.4636890865722,259.10755601137504,312.88500571679447,316.39293490828794,314.6631555966829,301.775661704364,309.9219393015508,288.60593032875454,315.3359167795454,303.0775636613845,302.07082181200576,304.9383960113992,309.52721827379474,296.7894797536265,324.3877426520058,284.7682539912397,287.761266066252,283.96030655161866,298.0675156743269,310.43593618800816,274.33880442693567,291.7694950191882,296.7616577676139,320.2517465360074,288.70281806411964,287.4098238598833,307.5390035694351,305.64115992504884,271.78030838565104,345.8811206135631,296.8135764368932,348.3584848299611,315.19650876348345,318.4873297841234,262.76474618791735,301.2266266204338,314.9907481037377,280.7232447947688,287.9662065455232,287.90658973587745,324.78015071050925,295.2117224651247,312.0184793206372,275.17612943414395,312.1277949363379,274.72557096144715,308.84417742838025,355.2594606445489,304.84113750306153,301.4416228515763,297.72871922125995,294.6811377293558,287.4529233772068,332.8928096912854,294.27634498827604,315.35638640979573,332.17598787558904,313.86864805746654,311.92251737220937,311.74518028173964,274.1040884925551,304.93192684705934,293.75757370866836,310.35492823133734,293.6202604254845,288.2212751509766,271.65921036281964
9,303.6901209770994,302.0020797112666,260.41226931094053,276.3828509619595,281.2843510768574,281.61927283298,297.76239281513307,308.9946845302073,294.78491355623527,308.23307000634594,304.83209204963487,285.6196094016996,321.29944804778336,315.1162110376405,332.6835442339429,318.4030179027102,316.11646328796604,326.58635076436155,304.21239431497315,269.54282625008176,347.58389320770624,303.8643107159196,272.86951747912667,295.22719281685,323.3646301489693,260.26637746391344,354.2465842937083,332.99894442087424,301.1790935059402,296.9474061274805,275.9927059151598,310.74198336489223,298.7265106754202,317.1519334393,260.6377805077217,310.70330183824547,316.9807213324985,314.2359371645036,301.26596851463904,310.6119975476873,288.9829280507059,317.29772424542784,301.24782882038676,301.85529407019055,305.2374105198335,309.88215849660196,295.55247848242664,325.3225893234112,285.1717790422856,285.93574676501095,282.65291442183394,299.87405608292,311.0206215597137,273.7003313382763,291.5447907254337,296.8601088977737,320.2337631978522,289.77327227268586,288.97013040061944,309.5620592811349,304.22385401503044,272.66034074552636,343.78074326267074,297.15678793942556,348.0222009560549,313.82818856040046,318.30367305615175,261.5703833706186,300.02957096002433,313.77080344570186,279.2495001895585,287.1615540718562,288.18146134184514,325.1244479689376,296.6855547041482,311.99243486934336,275.3053773019871,312.6038221452888,273.87245308483614,308.8466592711876,355.7878933946749,305.2153596545062,302.8901162396305,297.31271333441504,294.6528291869339,286.83184353356955,333.22747159839827,294.2590363128504,315.73935117476526,332.38975534213876,314.1594710135066,314.2010151588944,311.56690088716533,274.55613735679094,307.3907805036392,293.82822682901417,310.58974614869936,292.00767030663343,290.495316044279,272.80555473900847
