time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31,curve_32,curve_33,curve_34,curve_35,curve_36,curve_37,curve_38,curve_39,curve_40,curve_41,curve_42,curve_43,curve_44,curve_45,curve_46,curve_47,curve_48,curve_49,curve_50,curve_51,curve_52,curve_53,curve_54,curve_55,curve_56,curve_57,curve_58,curve_59,curve_60,curve_61,curve_62,curve_63,curve_64,curve_65,curve_66,curve_67,curve_68,curve_69,curve_70,curve_71,curve_72,curve_73,curve_74,curve_75,curve_76,curve_77,curve_78,curve_79,curve_80,curve_81,curve_82,curve_83,curve_84,curve_85,curve_86,curve_87,curve_88,curve_89,curve_90,curve_91,curve_92,curve_93,curve_94,curve_95,curve_96,curve_97,curve_98,curve_99,curve_100
0,-247.79204781277502,-212.55918262083668,-193.14068670090168,-191.29272035335643,-185.76453612521675,-184.0051828133463,-187.0993120810447,-186.75520801193122,-192.8193734180362,-189.36243893117805,-200.29614796255146,-196.81105266935413,-215.10012536149523,-190.4305319988274,-157.27907416230533,-161.70838106914385,-181.63953855215576,-196.96729882147602,-224.35958558174053,-179.21112612114115,-193.24153771048125,-192.3737930634919,-204.8685254915395,-210.61890842606658,-211.80828906246572,-216.85080987960202,-176.02914023580215,-195.1689320876831,-201.47268974616668,-214.73922380771282,-218.31276956408422,-191.458986284485,-178.54841674942278,-194.18448950682767,-208.27982910647913,-202.1707598105327,-192.97763460606632,-217.54681429200966,-215.02137102137854,-207.71599463084138,-213.622822113562,-190.47512518251986,-203.0377419593264,-199.6562381186386,-219.52648513611317,-176.2911834348757,-218.49086966782667,-173.5893307546208,-209.5735370182673,-201.42604324955937,-171.9781584143516,-189.9871753216016,-194.09100373566918,-183.00905517150343,-201.37144688418658,-188.26665767029095,-194.29742506827452,-213.08140996947134,-197.756981205652,-219.75923991590324,-209.06107839844057,-188.2141867430965,-213.77750484830008,-186.39888274509585,-197.2653490194971,-174.51071126600647,-215.3283652107836,-227.05062950081611,-214.99470638750833,-176.30841431256064,-205.294598532055,-216.6663045680164,-184.99451237480898,-176.33963264661602,-204.73076639524004,-207.9115887799483,-214.9890887136898,-217.84560612088737,-205.0485294609291,-228.3019914003156,-200.9171088503412,-196.4202234978204,-204.37211256970875,-169.564282956007,-192.71057652566023,-195.03722549943112,-228.23627483336116,-215.83977797262523,-224.04960285728055,-193.89303652329642,-190.2999754294936,-205.9245721020086,-183.4300460723429,-179.29491106129979,-227.50528620050787,-219.40052928511045,-187.88303037474537,-201.7785408112915,-197.09485223619015,-209.348893667927
1,-250.345159410928,-207.9905055908987,-190.07117923799254,-187.74589347065688,-187.5629626570167,-177.51115265291656,-186.45407880922997,-192.87274125322955,-197.84297910459335,-179.73609180886686,-191.96503246115014,-198.01990109899648,-226.5972549334611,-198.73600065983675,-161.152690210725,-164.2779900220806,-176.73344475949972,-200.7048972034339,-224.52055266462077,-180.74225953621882,-195.67592718371318,-191.08468426815037,-203.23600265426094,-208.71545573464186,-216.28279884533578,-213.64298556430103,-171.27246434001424,-187.174283111814,-203.33278226519846,-209.3798720700722,-213.16096374246504,-184.25721197997242,-175.29608064719196,-190.59409393090337,-197.8491935739058,-196.06303548526773,-191.4408119349429,-203.1406682132092,-219.09339081411167,-204.71483771526593,-224.31386504180577,-196.0272815014224,-203.6492227247912,-198.70651526514186,-216.5505999929665,-173.21914058422513,-216.58193949424606,-182.2001939501091,-223.85849645487104,-203.72328229877786,-179.7522407244463,-197.39796220607354,-202.15978349769912,-183.5381380500483,-193.09783556083556,-186.70624962824903,-188.23020819568805,-206.1878764584888,-194.08739034632504,-217.3157688528694,-205.21322998240205,-181.76575882205097,-205.1653894118653,-178.57611452395088,-191.10669947525798,-177.01447232075938,-216.6345833531178,-226.91560984101076,-219.08853661460017,-179.73445999131093,-212.94792715254545,-210.36683851604576,-181.7283166409377,-171.8970508052828,-200.62841609843704,-204.51094252693127,-214.4012592949557,-227.69317423097456,-206.954119161105,-229.92447595479828,-208.09490625973766,-193.35406090436587,-210.59988244869683,-171.37252978255552,-192.56285253909275,-189.6200744380024,-241.6428586233418,-222.67552562133585,-222.49702776950008,-188.25071036666114,-186.65768660537105,-209.02894588391788,-180.86165656932556,-182.86689786605407,-223.6233672982967,-210.35289050051028,-188.5186515268614,-208.41157357891552,-195.08743433864277,-206.33054738901893
2,-248.1230874182605,-209.57006329264368,-184.65578491694973,-189.76309748415576,-192.34777580675015,-181.35095592876172,-183.4359900636583,-194.72650158618126,-199.0196783218681,-182.82484112082014,-188.79744540832476,-194.59404587525916,-220.3279689259142,-197.0927834768091,-158.1321958840935,-160.90693062021862,-175.5114053334911,-204.93332411347703,-226.42099086892497,-183.34488040049945,-197.70162527325834,-190.42464874037438,-198.5136126559751,-207.63079905580827,-214.9402690160883,-218.4565219197283,-171.50362545921774,-186.60560947838263,-203.33533009149735,-213.31028141672883,-211.5289448957139,-185.84478819188553,-175.0184410435552,-189.2602272063303,-197.57317777783294,-200.97184365005654,-189.29868089680815,-205.09816038407752,-214.16346848943206,-204.18098420186087,-223.59244432220402,-196.65145336007734,-203.77113222255966,-195.72410178519064,-219.50891241091523,-180.72627046310203,-214.835039289833,-181.01559714307305,-220.37126327504092,-205.86271302457632,-181.27360220982538,-193.0535263292019,-200.9234348198703,-184.39068862729994,-192.00866988560153,-186.25851954390686,-186.6386251846267,-208.9984674507503,-192.99454251558356,-217.86346209899696,-209.30302464232133,-188.0594948123076,-202.8164365267641,-184.88598795807684,-193.16143068340128,-178.08992187534878,-216.12407154563112,-231.18903791989862,-216.12630543695286,-176.85934513677824,-210.25808653579753,-216.2549071110569,-179.3479003619178,-173.58802579208847,-202.84523132443874,-209.56999438795987,-214.7233239326501,-228.91144576701188,-205.07319968449366,-226.67407128832718,-207.3844376013166,-193.33644644916933,-207.45102959651803,-174.40511373989898,-191.27604075531593,-189.11151950250934,-236.3360536242842,-220.62861712481427,-218.3801816733384,-184.43862025389416,-192.70782416987223,-205.8787414365718,-178.05428323546872,-177.37481397830368,-226.79022901821608,-219.11072841093005,-186.71551365214938,-209.7426119025126,-197.1578933143241,-210.03318984134586
3,-245.02989535174387,-211.93673465063995,-181.0344889841823,-192.55034811653945,-193.016719210978,-185.83149720023206,-182.52297409700515,-193.16528842519557,-198.61362321364234,-187.71412306665323,-189.01699526398014,-190.6303534887386,-214.82701919651234,-192.88244887773232,-155.0834908735948,-157.43567005781526,-174.72782897202353,-205.1399299457045,-226.3519412049547,-185.1536324558702,-198.8440059972795,-188.82945493418993,-195.70977467501558,-207.65311784046486,-213.9156110401364,-222.53619822943978,-172.15635588040215,-191.10343617512805,-202.73518174722923,-215.93909258540617,-211.55250724338245,-188.38795600796212,-175.6091990522682,-187.15819624744398,-200.12827410937234,-205.54608414018426,-191.26432421669048,-208.98145644482045,-210.59158270533996,-203.40923684347175,-220.50524035012893,-196.1428730650339,-203.90257484814217,-194.57605303232668,-219.52318985172815,-184.73946709601387,-213.32321919352339,-177.58217833982943,-215.80318611242848,-207.55386354766594,-180.50450562910675,-187.9261407063416,-197.5185204684956,-184.64148856979847,-194.40608639257468,-187.0688023876459,-187.2684278642733,-212.4934367370297,-193.73460039407695,-217.89964924315822,-211.58002089745148,-193.06367027774118,-204.23148380447003,-190.92153105863906,-194.78361202800713,-177.63693549648133,-215.67787895567142,-233.982128798934,-214.0487851122695,-175.73548060558971,-207.4697048398491,-220.82426411988132,-178.00139706151103,-175.0625539729564,-205.35321089238582,-212.29967197728467,-215.34368459125517,-226.59427905849626,-203.52796209480763,-223.4231950917775,-203.75376598098097,-193.75729079428055,-205.09333947431298,-174.7747481725508,-189.61933002067062,-191.16459105658438,-228.34008440207185,-220.0654717431699,-216.69680818019216,-183.98452012384288,-196.73841285012946,-204.71718679305982,-177.88320361736498,-173.45251559778595,-228.19495777353222,-226.46650092602528,-187.34492516605206,-210.31601402596354,-198.75565575427086,-211.52972228199653
4,-242.796379287009,-212.98743721327804,-179.81295625013186,-194.43282364966905,-190.76029991791847,-187.97944901869536,-183.7390644215219,-190.73094571674787,-197.5541151636138,-190.378824967318,-190.65452538505997,-187.81656049309623,-214.30987644584548,-189.64880267680465,-153.83431729406075,-155.72927479283683,-174.02722841142105,-202.40181086937244,-224.45096363960852,-185.75827201328602,-199.20100998962238,-186.42562767139393,-194.61531677700384,-208.53121111095348,-214.6191345498632,-224.0586919704402,-172.50212095233422,-196.6092273181091,-202.0220600793315,-215.57876685870343,-211.70787997732668,-189.62607574688212,-176.40201435616547,-185.04352246302932,-202.0252918474293,-207.20261580080273,-195.24008099104267,-210.68175369576107,-210.10504394537227,-202.4140152353936,-218.90412726727038,-195.87428879559806,-204.2439420030386,-195.19518354701424,-216.77576327242065,-183.52920447023928,-212.4585645211934,-175.2037097466166,-214.287074221686,-208.1466350491993,-179.54287469854734,-185.34974707698,-194.63352495985364,-184.55509802191597,-197.54650012823814,-188.26376324756373,-188.38952563978907,-213.55729305177576,-195.22560869530946,-217.1634560683498,-211.0261113274409,-193.92558680629605,-206.66850102158688,-192.94947756572031,-194.3624931600545,-175.73905455616014,-215.93346940850793,-234.07991236104192,-213.90982639614737,-177.1149219577049,-206.87578892742945,-220.97566020332522,-177.50725059198098,-175.46392415175097,-206.89436278591677,-211.6034725376203,-215.72140735553785,-223.97050411143283,-203.03959407896915,-221.56814277955343,-200.2670698554152,-193.8822670216217,-205.15565215249364,-173.00281431742917,-188.6001678289155,-193.4709695202378,-224.05235610848212,-221.78094841501417,-217.96304470387219,-185.9778856592866,-196.84286687621886,-206.16698403873005,-179.73552687841456,-172.86904273404753,-226.33033324815943,-228.46369551324983,-189.57346104345612,-211.02520665971517,-199.46832011243805,-209.79707099425644
5,-241.88252631743126,-212.517153924038,-180.18365102232917,-195.21441995834942,-188.47977591394476,-187.89518911309617,-185.72868309787407,-189.34606792974287,-196.23696186611764,-190.35767839774235,-192.32920242356286,-186.53178705861188,-217.15876293978633,-188.4700404357355,-154.1180890206531,-155.83554201584315,-173.83432228852007,-199.21390445941574,-221.95838164216534,-185.38831228390944,-199.00682615464547,-183.90062622722573,-193.84634261201168,-209.8076721470814,-216.49458998254616,-223.87554921057244,-172.9071207036132,-200.10837086257047,-201.4418359903836,-213.68439960799336,-211.28155614328927,-189.5914071127803,-177.2309358913906,-184.00341740154124,-202.2237360443534,-206.69320529633146,-198.2805416551893,-210.38935494040567,-211.35320123557975,-201.85817859118194,-219.5520018726112,-196.01044618659074,-204.76622782479654,-196.41291428017993,-213.76162263436046,-179.62721874213008,-212.40660189262326,-174.78067783576947,-215.03752672859446,-207.38822937911294,-179.21314134955583,-185.2288431841377,-192.99500747677214,-184.57740639675254,-199.90066980068363,-189.04738238831763,-188.9949549220856,-212.25147582319485,-196.68264655441973,-216.37487544307925,-209.31395815835216,-192.1518441723163,-208.3109952928765,-191.83112126397162,-192.91241887036986,-172.94469119277272,-216.76246450745617,-232.31856986127846,-214.50918668738785,-179.35535548101544,-207.68497976017716,-217.94178528287532,-177.5567245233317,-175.54896971563954,-207.73547396941282,-209.56721872736014,-215.61147083071594,-222.48877244263332,-203.17541488832774,-221.0450531799477,-198.29901400947844,-193.7957261601021,-206.29711421480795,-170.69314185298538,-188.72731421615006,-194.6198626325215,-224.3595781078819,-223.80593658614893,-220.8924466538391,-188.8398310204227,-194.74940944842876,-208.5342244163761,-182.13676332520873,-174.2433497082279,-222.54420915053495,-226.9052012240307,-191.38042480251647,-211.58194724535255,-200.00965039122497,-206.62487601443013
6,-242.0848901294371,-211.18957855785365,-181.10565906119155,-195.24244998297667,-188.02336455960332,-186.6578817005491,-187.2608388301225,-189.65652757402668,-194.89075413707928,-188.6667939419202,-193.41103674740887,-186.54468681400832,-220.51910415559584,-189.0598213946787,-155.12481152277172,-157.16128260907198,-174.4266083473172,-197.48173035021225,-219.94421470836298,-184.45429748500376,-198.47138873336704,-181.91828487769914,-192.53969701376687,-211.03345497328897,-218.54056129647094,-223.30433609486687,-173.65693067306458,-200.4255498128905,-201.16328225600452,-211.99237336856018,-210.29317843630238,-188.9174955870805,-178.0020891299131,-184.28681762965277,-201.0134861827916,-205.38553682268414,-198.8955516351895,-209.41700702978218,-212.67984679277026,-202.15820955207184,-221.69121962775998,-196.25288999892808,-205.325658880931,-197.26524923494884,-212.3160324153772,-175.83049039101542,-212.99026098445714,-176.00366806447968,-216.2670450951135,-205.5495965150312,-179.56857164000158,-186.39901051271747,-192.60747604566362,-184.93639869839413,-200.96743662056505,-189.06743392326064,-188.73356531241078,-209.92180410347618,-197.75961911835498,-216.17095444312147,-208.02932202204343,-190.0167690422389,-208.48853780294846,-189.63184481491308,-191.79554041305255,-170.10066939563825,-217.70884731254688,-230.03242200684957,-214.61259436835064,-180.8320851979955,-208.5599134327254,-213.9827434927629,-177.8389662265911,-175.9756694003307,-208.25130528575593,-208.27246836696807,-215.0521494297246,-222.29837898196322,-203.4167045115891,-221.38163979127626,-198.02006785415227,-193.80510867276402,-206.98325554081956,-169.06096920208728,-189.90383544885918,-194.21331258781512,-227.58341003143454,-224.50969892680084,-223.92676207982885,-191.23907871998807,-192.6192622631756,-210.27243215558158,-183.9389827377208,-175.86618931907643,-218.6744695073339,-224.52714646405576,-191.49680150395963,-211.65238549283782,-200.90064785132878,-203.99285879428956
7,-242.9292272598582,-209.83976833614255,-181.84915582115627,-194.93543236501657,-189.6064085392866,-185.27900627705935,-187.75912850942507,-191.23886072179766,-193.7003684548451,-186.59996984968726,-193.86457298903377,-187.4239413240421,-222.36505810763418,-190.57799642041797,-156.18326892069365,-159.03541674356111,-175.694242090164,-197.87960494304673,-218.9075163012023,-183.3242480602155,-197.7551767559863,-180.87877156514872,-190.70908946911874,-211.88585628769357,-220.01433678741355,-223.20662145771257,-174.66133433577463,-197.9733812858498,-201.28545204470936,-211.4425378632993,-209.18633702871062,-188.12462626624927,-178.5667740347678,-185.32556162552228,-199.19575399551061,-204.19597394307024,-197.3153609588623,-208.8090807757372,-213.17958305525835,-203.26895246867056,-224.1149156627619,-196.2549956533738,-205.76982797457384,-197.38750805720042,-212.83857682811933,-173.71083416765413,-213.82279598487082,-178.09475050106238,-216.7934981581704,-203.2466122656122,-180.28720419500266,-187.77279454129896,-193.2688478803797,-185.5849522313231,-200.9101206586141,-188.39430760920297,-187.71827484145524,-208.01486640251346,-198.4494539081203,-216.76265187501622,-207.80617532784294,-189.02809560648302,-207.41661481003112,-188.01055498514143,-191.79295185922894,-168.04232141563534,-218.31719800724622,-228.26563485342598,-213.7156697044906,-180.8076251475892,-208.67650249291714,-210.8705068161134,-178.10930744897715,-176.83326057158138,-208.528816867432,-208.65689157202118,-214.2489327670817,-222.83922924862293,-203.5246477373861,-222.15253675230758,-198.93228321827854,-194.15064250942504,-206.52334725572385,-168.54133260677452,-191.62164583268037,-192.60828442031288,-231.41396034706543,-223.51239712940875,-225.9695819512921,-192.44322295712917,-191.7363354219715,-210.76112992501808,-184.65902728989434,-176.76055633351208,-216.01664577334552,-223.0625725600048,-189.83947570500595,-211.21361511677097,-202.1303935287893,-203.0173351798904
8,-243.91008559365747,-209.07551246608014,-182.14115686549974,-194.59455706748395,-192.28010255977912,-184.31845290200906,-187.29145461135323,-193.13932446437533,-192.81648988515832,-185.13715549960767,-193.9771020000321,-188.75196331315817,-222.04690383672252,-192.1640134600914,-156.9498528974699,-160.92085031315406,-177.240244358249,-199.97812482063847,-218.82761776306177,-182.24451541217513,-196.99124450501986,-180.87825510121786,-188.96241149572575,-212.21245944859658,-220.63504995981032,-223.8006199850389,-175.57111769079881,-194.07223119910884,-201.80436474993064,-212.0806047900086,-208.48890452431985,-187.4465948322198,-178.74642860514905,-186.22178617289165,-197.5544929257899,-203.41897906823698,-194.8340328863979,-208.96827236117042,-212.80593160253244,-204.8018909149394,-225.80899844711018,-195.81513896807596,-206.00810540974604,-196.93503863042815,-214.60882446859404,-173.49624757619645,-214.50065412230552,-180.24028633249546,-216.3570059866389,-201.17066317489218,-180.9568675288316,-188.74335187208072,-194.71790820994326,-186.30143983818152,-200.1853448490255,-187.34168456231376,-186.3052956347259,-207.46208388361697,-198.90706232250557,-217.97242789044876,-208.43115225026398,-189.59053895929895,-205.76976757175817,-187.70439414316365,-192.94973180633968,-167.32142997626497,-218.325635647997,-227.49718769791963,-212.03240263127026,-179.44909213599112,-207.92937152087208,-209.43966398961868,-178.2174229252744,-177.77555476740832,-208.44586453910216,-210.4985687365578,-213.4414591044806,-223.36472241772938,-203.54052117517924,-223.1012373949836,-200.32474582407247,-194.9043117808651,-205.13744792803422,-168.9358455132654,-193.24277049262608,-190.53499958042124,-234.01394653084282,-221.4782884645496,-226.60220997906006,-192.32798281388543,-192.29290534389045,-210.2132921277254,-184.3809896779875,-176.78634793765525,-215.07324890344557,-222.91729289574133,-187.1983153485951,-210.51670263762782,-203.29803062155227,-203.80455738725703
9,-244.62371788834182,-209.12188234342688,-182.08961725278394,-194.37115504061603,-194.71369293929362,-183.87685192697927,-186.31996956982454,-194.41557219787478,-192.33033027808338,-184.74577621793898,-194.09769922241415,-190.21201455327082,-220.04515621103943,-193.22849048707604,-157.3590936406556,-162.45133213079356,-178.59358553969486,-202.71574837094906,-219.38971473293492,-181.33980794492055,-196.30627496885808,-181.76860370304527,-188.0337009048555,-212.02282986354658,-220.51675093720024,-224.82718456032896,-176.01208178981244,-190.23237026280106,-202.6001122541303,-213.39295793110796,-208.55596410181096,-186.90520267335273,-178.40934733863335,-186.26226990342312,-196.5811999291999,-202.946673994907,-192.94248604790974,-209.77443255117214,-212.05554108939205,-206.25186439608078,-226.24905140920814,-194.92927782587924,-206.0384664195173,-196.3223374326589,-216.47051517902574,-174.5539095235297,-214.75902998269643,-181.8181084696632,-215.3407385220052,-199.85606011372212,-181.2549988404435,-189.18438149028697,-196.63947217814285,-186.8302106407332,-199.25712704405453,-186.26992392420004,-184.90250031902409,-208.48618565716743,-199.29113754812437,-219.42372309908887,-209.30096590393168,-191.26452500765862,-204.28025194291882,-188.61185502942666,-194.79237009908022,-168.05981014975097,-217.7301403630139,-227.67750819193475,-210.16518956482537,-177.46891281297385,-206.7226879515493,-209.69484540527614,-178.10851025901627,-178.3463448508113,-207.88365599979596,-212.89097271943015,-212.80230294405152,-223.30713546606913,-203.6424153412886,-224.10660663689512,-201.58648652043146,-195.97503575107288,-203.58584103752915,-169.74504291730244,-194.24146018226702,-188.74469511163488,-234.4856085664606,-219.49978477600476,-225.99756814614153,-191.20981703819655,-193.7096221122978,-209.25141658534446,-183.49675709396342,-176.33123336160125,-215.69835651115378,-223.58570117713498,-184.6773977635494,-209.90779386683008,-203.91025403430777,-205.74473860228676
