time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10
0,-172.71812957076986,-181.23146120763127,-207.53593125101008,-211.8166733338323,-217.05392479292715,-172.86977760059398,-190.10332467159867,-202.40173357638022,-210.99701124870114,-201.99282658158523
1,-172.6059615653539,-180.35731697887195,-206.07222430538943,-211.118639804542,-215.96456703065013,-172.9563123549206,-190.21074868848478,-202.28627739058024,-208.77052674586534,-201.95197037572896
2,-172.53282124107216,-179.62449603451802,-204.81923440738584,-210.55098378155293,-215.00229923313907,-172.96953907042186,-190.33271314593958,-202.12608334672206,-206.8580761260313,-201.96624149903482
3,-172.49426357857095,-179.02359278058117,-203.76441403319154,-210.1031340622473,-214.16157541545138,-172.91584054471124,-190.46769971203972,-201.927606389077,-205.2413407574445,-202.03006725783501
4,-172.48584355849667,-178.54520162307313,-202.8952156589987,-209.76451944400733,-213.43684959264445,-172.80159957540224,-190.61419005486184,-201.6973014619164,-203.90200200835048,-202.13787495846174
5,-172.50311616149565,-178.17991696800559,-202.19909176099944,-209.52456872421521,-212.82257577977566,-172.63319896010842,-190.77066584248266,-201.4416235095116,-202.82174124699472,-202.2840919072471
6,-172.54163636821423,-177.91833322139024,-201.66349481538597,-209.3727107002531,-212.31320799190243,-172.41702149644325,-190.9356087429788,-201.16702747613388,-201.98223984162274,-202.4631454105233
7,-172.59695915929876,-177.7510447892388,-201.27587729835042,-209.29837416950323,-211.90320024408214,-172.15944998202028,-191.1075004244269,-200.87996830605465,-201.36517916048007,-202.66946277462256
8,-172.6646395153956,-177.66864607756293,-201.023691686085,-209.2909879293478,-211.5870065513722,-171.86686721445298,-191.28482255490366,-200.5869009435452,-200.95224057181218,-202.89747130587696
9,-172.74023241715105,-177.66173149237434,-200.8943904547818,-209.339980777169,-211.35908092883005,-171.54565599135492,-191.46605680248572,-200.29428033287687,-200.7251054438646,-203.14159831061875
10,-172.81929284521152,-177.7208954396848,-200.87542608063308,-209.43478151034898,-211.21387739151302,-171.2021991103396,-191.64968483524976,-200.00856141832097,-200.66545514488286,-203.39627109518008
11,-172.8973757802233,-177.83673232550592,-200.95425103983095,-209.56481892627002,-211.14584995447856,-170.8428793690205,-191.83418832127242,-199.73619914414886,-200.75497104311242,-203.65591696589308
12,-172.97003620283277,-177.99983655584944,-201.11831780856758,-209.71952182231428,-211.14945263278406,-170.47407956501118,-192.01804892863038,-199.48364845463186,-200.9753345067988,-203.91496322908998
13,-173.03282909368627,-178.20080253672705,-201.35507886303517,-209.88831899586395,-211.2191394414869,-170.10218249592512,-192.1997483254003,-199.2573642940413,-201.30822690418753,-204.1678371911029
14,-173.08130943343014,-178.43022467415048,-201.65198667942585,-210.06063924430123,-211.34936439564447,-169.73357095937584,-192.3777681796588,-199.06380160664852,-201.73532960352412,-204.40896615826406
15,-173.11103220270653,-178.67869737412724,-201.99649373392703,-210.22591136500333,-211.53458151030927,-169.37462775297286,-192.55059015947805,-198.90941533672017,-202.23832397304932,-204.63277743690074
16,-172.7886036415533,-178.86162983866922,-202.08224123758512,-209.88511661508826,-211.74493997037044,-168.9600069651291,-192.70420542343433,-199.2721708796012,-202.17923307078252,-204.2807536801466
17,-172.9304144307019,-179.28500663488347,-202.80813250508072,-209.5362780611016,-212.10384098711972,-168.9114345611088,-192.88134226810152,-199.53573793077524,-202.8155587187679,-204.77928144285704
18,-173.07087081139235,-179.34290782574539,-203.02664909007405,-209.598183112002,-213.05820862760808,-168.51471835067542,-193.2595502929426,-200.13197978078324,-202.74399702660827,-204.86037098093902
19,-172.4869294764032,-179.25374536937213,-203.30390997831947,-209.8286956237682,-212.8826661157254,-168.56746824574654,-193.11870106183653,-200.01446223380654,-203.67880937016403,-204.98723798545194
20,-172.46048280169984,-179.13981219836938,-203.9317324084978,-209.7753264083113,-213.5449330505453,-168.29760887685902,-193.39105499375424,-200.30675343310975,-204.38776015265967,-204.8141151273801
21,-171.9170745647005,-179.58443491009342,-204.11480830400544,-209.38069599710627,-214.18719489801757,-167.8716388148969,-192.9821162404077,-200.2084080679696,-205.80445270427708,-204.98295936246254
22,-172.25716112563052,-179.8596476770888,-204.80859856361272,-209.152911613683,-214.64328841637223,-167.5458646741236,-192.77279437193835,-200.40071901518604,-206.17439728199386,-204.90103614294878
23,-171.55167710457258,-179.98906443159618,-204.67192188216868,-209.35275670603775,-214.5557520432322,-167.88222832346722,-193.10695557053234,-200.23347969454494,-207.26754046926666,-204.49589091633632
24,-171.12530577307248,-180.17841426844956,-205.16354407173105,-209.79032439283003,-214.72106166378322,-168.23447867038752,-193.15768449521758,-199.88531994551542,-208.01113840014358,-204.5002532368593
25,-170.909340669152,-180.48659423399096,-204.75049864453572,-209.47355353615762,-214.6485115144686,-168.0679773504791,-193.6177417348141,-199.59586665631812,-208.16070180961262,-204.80217171104806
26,-170.9319039667867,-180.3393122516928,-205.18237236183347,-209.22839860136355,-214.80356610545851,-168.05083944270373,-193.88238151087248,-200.193846786503,-207.56738311784466,-204.7163971204381
27,-170.90976361028635,-180.2227203843161,-205.34585972973971,-208.95466907734698,-214.636934422612,-168.4485228133603,-193.975612852892,-200.52680847138703,-207.96742835872817,-204.47238050080588
28,-170.8448747228382,-179.99166468807866,-204.82387792315757,-208.89862418637617,-214.48673352104856,-168.53107979584985,-194.1625629297432,-200.63942517816875,-208.00659209231597,-204.1521921896919
