time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31,curve_32,curve_33,curve_34,curve_35,curve_36,curve_37,curve_38,curve_39,curve_40,curve_41,curve_42,curve_43,curve_44,curve_45,curve_46,curve_47,curve_48,curve_49,curve_50,curve_51,curve_52,curve_53,curve_54,curve_55,curve_56,curve_57,curve_58,curve_59,curve_60,curve_61,curve_62,curve_63,curve_64,curve_65,curve_66,curve_67,curve_68,curve_69,curve_70,curve_71,curve_72,curve_73,curve_74,curve_75,curve_76,curve_77,curve_78,curve_79,curve_80,curve_81,curve_82,curve_83,curve_84,curve_85,curve_86,curve_87,curve_88,curve_89,curve_90,curve_91,curve_92,curve_93,curve_94,curve_95,curve_96,curve_97,curve_98,curve_99,curve_100
0,290.7673485247208,290.6099179322768,302.674476249157,299.48285745673616,303.89937961752867,334.9526439509819,266.8104779226223,312.87969638148184,287.507494978257,282.43800665601646,327.5163168790615,298.45781487776327,290.32827566325483,313.1491828589866,253.72521622195606,314.8601670673713,293.39172559479886,279.9835179552326,292.468911809477,313.71817844852393,311.3434308711957,304.5772799676114,305.2531282552594,330.11070410466857,291.5522544745236,270.88543929811823,310.68762379157977,306.4941340824677,295.50600111893425,284.2623597955037,327.3855508536684,289.1785518871356,296.9561047003055,296.3708669699218,276.9787772220317,297.79531884558617,301.3744123609004,282.2345249503886,291.7272975617859,292.01302200530927,307.6326293011065,323.6884187692571,317.3759281137465,285.20497681872627,307.16102236857967,299.6889671395544,307.2661571658516,290.6098741759103,303.3103025284125,328.343149806829,257.03436727676245,287.1576168226508,305.9978204337387,286.15750368787394,316.18615960016234,313.14873858694733,291.82694791462325,298.72395939889094,299.1739930385998,307.58256623977815,277.83166893471537,269.66386782724584,286.2378610086517,326.1354125911258,328.31790952100016,290.2380290862955,268.2524170582852,298.1699207313629,314.99806937846824,274.0566801095523,307.26726250618896,306.8135112517293,298.8816628322815,274.7104890324554,290.94473149842884,270.68671480547897,287.1397770083845,315.63313009526746,286.29948963543023,303.5134130541323,295.21289359248186,311.59433110504244,307.39370090410483,292.9451414561773,321.1778278941691,328.0431255358571,299.7773586434337,319.84792033462236,308.5441392737847,297.9464675102448,347.2563090835001,302.0089614466058,291.4380171953023,286.36578453241094,290.3154894739051,314.6712899381522,265.73918894101297,315.8919418922829,294.05536513088043,295.2263803862085
1,281.8397025824568,305.054995990504,305.8064800921941,296.63796006017657,301.9053190844291,333.3271458507982,269.73531562774383,313.73833646752115,292.13587842069245,279.1105104065049,328.25874477760834,300.5449959017433,289.39990828232203,322.3492276373752,247.18872254683018,319.7971312413484,297.87679632189963,286.28822531575804,286.63641356997954,306.88184497404586,316.51888206786634,307.9890412868393,301.6843915097858,328.2514430124703,293.9194479663065,272.52868281398975,309.26655735487634,307.07339365511854,301.80766860225845,292.8206128369039,318.5314475768901,290.0278705894141,292.2305059048759,295.0380942083602,269.91038473374755,301.5726158328291,300.0099955727468,279.22819481672576,289.36753677596556,289.9698672242877,304.9304068283608,324.65056469639984,319.394991465182,283.2486137922919,307.9944918580555,296.54881771284124,295.33632853208337,296.804389167226,288.66289363918054,330.41278174339703,262.4077919838398,287.8871843943423,309.28710226593984,275.84909338421596,325.0511334480469,308.9618272098033,288.23345315056457,301.83414588141676,293.2615816516587,310.3486105777239,273.6078214966685,279.96799720656065,288.8430224390805,319.5102767925626,330.9071471086721,293.9455480350692,274.78178299184253,304.2680418147382,307.00387152371746,284.17112657392033,310.01057831795373,306.21841841074286,300.07160611032674,279.86328026190296,295.4206385399017,271.10788812399835,280.6603615153196,302.83997211002713,299.5639094587817,299.2471986616201,303.36746490697334,312.31548601148955,302.32589418653623,289.8860928230696,314.4331784375965,305.41182351387306,306.3072548293073,316.75929851658293,310.16684194032837,304.23260527532807,339.3708392988391,296.5238661852556,293.97719788588023,289.2724895442339,284.28487940357337,311.67291588879954,278.2358929180774,316.7337245517824,287.91791683436134,297.50723665617437
2,283.04917307816635,303.0327841025447,300.4867164281648,287.1641249670031,296.65400257774587,329.7619154542026,271.2051346170275,313.2949743130949,295.9888764196312,280.4707970658814,324.4755598894138,304.2258144249166,288.32138068976946,318.98108565241137,251.81154354481907,318.25398544736794,300.19733559197084,283.1249218270104,287.8170732827607,302.17502469943406,314.6918439487678,308.8437421199158,298.6777523650361,327.2173179971659,297.69225157605473,272.17152778395825,317.4552231008549,306.7947861306115,297.84381281008166,294.98266983452356,322.37768011178565,292.6813879234334,288.89006198871016,297.5296439992986,270.89674679765096,303.62432330283275,298.8681232372934,278.4585330889085,289.84569628871793,287.74527272513905,306.680792239652,321.2315487272629,320.67967573594944,283.8222678937312,309.3084004727508,289.2001023495844,298.83049700982775,294.41854512602606,292.5744593721023,330.99638854348484,258.8165640294716,287.9774786075956,313.50097183634574,273.184500416675,317.379888929337,310.9010992461815,292.1371555675197,305.0958822051897,292.7398028081975,311.576478070563,277.7560375154873,272.0905923943827,285.7642850831281,321.1534470704504,323.4220178501151,293.90815917871265,277.00461420247706,307.4121200630027,306.68032222012835,277.4522992464634,311.248638579787,307.44836934473807,298.5494071272421,279.86998703951235,289.87687468450196,268.60364904044377,281.23329073690036,298.1444384627831,296.15025493792064,294.3760631022108,301.5261006940948,309.7971985168002,303.32820888697097,294.1040314340264,312.41833873212806,307.94622949188795,308.52425300218107,315.97347097274,310.82699917053924,305.84088596381343,336.0031111475516,297.4551099963686,289.9765037673386,287.9852855678505,285.07086307912346,312.429481592191,276.7590703423609,318.75674797439535,285.7780061220951,297.63727129191017
3,287.5106154742276,299.1050039799223,298.05591832717977,282.22212142319245,294.0886933140146,328.3476118112416,270.9218631136454,312.62135572382823,296.79377705243394,281.4123121385961,323.0875382182097,305.360025566135,288.74413071124053,314.5763908568972,253.98697329216583,315.7523359093106,300.49866232752214,279.5239781082573,290.7559170961094,301.8543878457192,312.1694011609863,309.65964595832685,296.0238337815112,325.77804613292994,299.8062524626327,270.6422338135868,320.8233548512876,305.3898409473506,295.03516115167474,293.0935068813896,327.2580481232156,291.67584276944405,288.54138099512676,297.9030862792046,272.2355990288528,303.1779814658609,299.691707110424,280.9388067155261,288.5207110512659,286.3152892670627,307.4463030872077,319.9564801514325,320.75229324522303,285.02996754236625,308.9522260127965,285.78992378902126,303.58995262143475,292.0848417702834,298.0110629561848,330.350663079514,253.54050686160565,287.17690965297794,317.08751644892425,274.40640129614,311.17445838335607,312.7117325797251,296.8471732504184,307.1368611470147,294.8791404026246,311.480618579145,279.5246124417172,266.0101840365764,284.69205346028724,324.38748777554974,319.4836928997119,292.64013579255476,277.18571942508777,308.08550205982795,308.29051365400204,274.0384070286717,311.135568613896,306.84807686715374,296.8389905654677,278.3475367650526,286.7152728553204,267.35345865010737,281.9694331530309,297.53538108597945,291.8119722967932,291.5092335414301,299.13114536103825,307.45003313747765,303.2633937986655,297.7968374333837,313.0878304362909,313.6147505537928,308.5391246025647,317.82817817112686,312.3466227036919,303.62953470374356,335.494927224239,299.7169277220758,288.4644821545396,287.01673101645946,287.9083025710168,314.62324613796227,272.88980224261985,319.9562814888533,284.70697382142777,296.3352201854761
4,291.5659015809547,297.6286618197952,299.54187568974294,283.13006699907794,294.38885300814655,328.95915522799754,270.21374795902705,312.0452949010477,295.84754899465787,281.0645124760372,324.19235416805435,304.93543453454225,289.66635608018817,312.73135958780546,252.4975544540336,314.30116892179933,299.5590807048671,277.72695326911463,293.7494433768574,304.10675426125556,310.73810229854985,310.1457690486983,294.44792729715516,324.2490966697151,300.2946009752006,269.05050886548577,318.52492865482145,303.80994256613707,295.28278893096615,289.88913844219417,329.25532114659416,288.6484618065903,289.9032978531014,295.8405006547858,272.31929518185467,301.555170156867,301.67345272612516,284.2919378553002,285.68056470213867,286.06737401503597,306.698932926544,321.1067940211963,319.8602699699026,286.1185201920478,307.5943522961168,286.3814670863586,305.4378059214056,291.5400964533887,300.19895431485793,329.2989302692812,250.0355050282448,286.2370518062358,318.8409443511972,276.35539102681867,309.9862460470048,312.6906010190374,299.27746917707384,308.097712553474,297.4052278557411,310.427919186314,277.57982932858135,265.62027620405564,286.0926055066487,326.4423338536166,320.47739752270337,291.3527288733144,276.75651491671834,307.3156545858668,309.49680938161845,276.6149452931563,310.4230599251641,304.7297467789108,296.04700650125545,276.6894253142425,287.4074827371359,267.51086358034377,281.2889666387194,298.1511877060716,290.2781765418443,290.8443854676814,298.2787021324544,306.5354858192833,301.86178388662836,299.339775178504,314.59539383471724,315.85327578959266,307.7320074778694,320.78852149814986,314.22117921063176,299.80797580856824,336.36776764689955,301.3626482501403,289.9542583401627,287.27863358886657,290.39471772322383,316.1144991280929,270.37255149913045,320.0669452439923,283.8473179431649,294.39418203791814
5,293.79066399463875,298.5457705131318,302.65940317726415,287.477213541558,295.98554192817505,330.2956024632053,270.277303580586,311.6385494487757,294.8710970861923,280.12584857670697,325.985367725985,304.7273478028018,289.94056587064335,313.2875111274375,249.99205604878017,314.062630789938,298.17998128360847,277.3705508724207,296.3355667280664,306.7135842586165,310.3625528911067,309.7182558799116,294.4002311007509,323.2351834285492,300.0147804742332,268.19847656886793,314.0436771885771,302.8612740588125,297.0506197398147,287.1663456149236,328.21190653180656,286.2677901939677,291.3332976098245,292.9102267971082,271.7259506983193,300.1509266927972,303.51615354496016,286.27252918835563,282.91331827057525,286.9715316959884,305.35752624575963,323.0682765003794,318.6060151885282,286.86873540488335,306.3505385511523,288.66270089928247,304.67996862816267,292.0041870830921,299.5965371984208,328.58238407107183,249.17852570658297,285.8028606975698,318.55246050558594,277.3186186682847,311.9684532187705,311.1623377843056,298.828095365076,308.5127698067101,299.0810892156763,308.9583207544977,273.9622542663749,268.77089940626905,288.25655641017227,326.8034051600238,323.7714535200736,290.47637198569726,276.4188271650926,306.02897454045996,309.80008056143424,281.87023085297477,309.7821572241525,302.5160809176162,296.27307336585443,275.3079060575159,289.7831183758877,268.13719530941637,279.7187002487299,298.56639144009574,290.72382728710505,291.62577150906577,298.3858944992515,307.05988755709615,300.62759437204926,299.39018054184857,315.82177007218945,314.7625682409954,306.86190976639864,323.33802294228974,315.55612314418,296.3049009677599,337.58872415311816,301.93724051864274,292.52832346388846,288.3421116772915,291.5890575262563,316.0391176846323,269.57821921161263,319.46089081046154,283.23180347065477,292.4904757355575
6,294.11909615745304,300.5148886068766,305.1824164536648,292.37567908584003,297.4438483935,331.2752254109787,271.55192108375684,311.41918986399696,294.7990682717481,279.47869814746207,326.9999620552571,305.62915341676734,289.1463301047367,314.84678812221495,248.91508008947878,314.44666982319666,296.9260964854062,277.57573516549013,298.2926305083141,308.41322445213183,310.54722936275743,308.3554322353313,295.7341904982127,323.0877807765944,299.6446321950388,268.4023351254956,310.6873475103145,302.7917551421261,298.4521286465363,285.58475250051606,325.38658549911565,285.90470658039436,291.85966661105834,290.6710922912093,271.29762278263956,299.6829803351656,304.35009303837643,285.9861810514644,281.4323265272459,288.7342302020475,304.24385561243145,324.3870142031421,317.62188131338206,287.27220376475043,305.8634937954074,290.60782968778915,302.97407835485035,292.3603018893549,298.05103135210527,328.59748429759765,250.39076383954244,286.06112025701754,316.85499444003113,276.9436578699763,314.46563401668436,309.036834292003,296.30053593077827,308.81596528220217,299.63705160352856,307.65463513389693,270.9702138166136,272.3847520284169,289.66587773009655,326.01287086433524,326.69120760096064,290.02763015859045,276.3547022025007,304.8126226982581,309.5115323091458,286.1554907441671,309.56221388040007,301.35804264489656,297.08105339566157,274.27728720901007,291.57601270747995,268.5001622295083,278.20633603595763,298.48905148254397,291.52023028160085,292.95347764157214,298.4827263520244,308.4341846345289,300.6139917247641,298.9460599080237,316.39369871388726,312.35301703886114,306.2369135275435,324.6753783716403,315.8758248469278,294.18426868018685,338.58492012052017,301.58083963870706,294.55402157713326,289.58315911699697,291.40085729018864,314.7288084649689,269.8437293777399,318.58109712063595,283.0910488595023,291.08899748892486
7,293.15010522001455,302.3500219830113,306.1070631989992,295.8652822292518,298.07574021721103,331.4558430334127,273.7346387900192,311.40272934207263,295.64354323090856,279.6205941601487,326.7615013667868,307.452872876581,287.59184795449875,316.10344118743495,250.14497127414094,314.76519714327804,296.0738609892484,277.7658666559615,299.366114731161,309.01675761318245,310.89271035735766,306.5866257517575,297.84020680487373,323.7836082667963,299.4172456602881,269.5450901681509,309.99830496049265,303.3686882609219,298.46253295136466,284.99654619136214,322.2114291329669,287.3572943852175,291.34843188257,289.94048070458234,271.4278672290528,300.146230527557,303.96365076836804,283.8532840443796,281.57918247452324,290.93112280683766,303.6418684100349,324.4469807236942,317.34705370193103,287.38008740037503,306.176502922056,291.31927705255134,301.7829222475934,291.99159707434706,297.02861993510965,329.36888529302166,252.52739519144586,286.7916292815869,314.759953015354,275.7444003168496,315.8396055879296,307.1001792664583,293.00758453302797,309.2053836711819,299.41641266468037,306.98523630585055,269.90477595541506,274.5163641696822,289.75327736456546,324.8813452114757,327.91605105408246,289.8530721133927,276.45647243648335,303.9070105462624,309.13202293023966,287.5863912010107,309.7935888163326,301.67354380917334,297.9020527920638,273.61088992869554,291.6929361296195,268.4204828802353,277.3960861901727,298.2534082913626,291.704769679949,294.15937545520836,298.06729110902404,309.92513317480615,301.8609539921181,298.6021411170541,316.459341590323,310.3693363791609,305.8908548645095,324.74819617349965,315.2735076144264,293.6508177624894,339.13907931395966,300.5955413244063,295.45356181566405,290.63358468973996,290.179777896111,313.1470799433538,270.50180044738073,317.7158779448995,283.51927813314467,290.41916545086946
8,291.6559092201618,303.4689699149352,305.624086731565,297.2235558518839,297.8912693818155,330.95274445992703,276.0874470538725,311.59019089931866,296.8404047964043,280.56867524119497,325.62849395511654,309.37973635260784,285.9577847274643,316.3816217652539,253.08687508566982,314.5610101393902,295.6664118385057,277.79799572311526,299.32782885613415,308.989731825553,311.2185279163963,305.1434290926616,299.9444543201238,325.01616550520527,299.22228918655713,271.23382114251046,311.75952445642145,304.14020813456796,297.0726561036909,284.91568123162705,319.74331562968445,289.4819956269735,290.2497734051956,290.7283173737854,272.0035730662956,301.0833119317092,302.67486206991975,281.03491116143954,282.9481780587503,293.1154427133902,303.3968568617757,323.41807961713573,317.9232632723054,287.24617467220344,306.9563033089677,290.9196905933455,301.81948830183904,290.88414447166343,297.0898995014931,330.6463418633959,254.49016124959968,287.57959982247655,313.191471276915,274.53674816716705,315.7554035612301,305.76929987923984,290.15152642573025,309.68335515510614,298.97380758389914,307.1898562716931,270.8908111487657,274.70022655866586,288.81666628808824,324.0447683987535,327.49083598417224,289.77815749439685,276.52410029374226,303.3058000899457,309.0304471544438,286.19213518598974,310.29991077478354,303.19984101058816,298.3064964093709,273.3365130517641,290.2506577560407,268.1457127220981,277.4601968077914,298.3424610337646,291.19971365339967,294.91372471378463,297.19050052323473,310.92954341628496,303.6525998412061,298.46058669567594,316.3971905215619,309.6250397112204,305.7334847524605,323.9891861154749,314.23539360894534,294.32577814014076,339.2520515918409,299.2735853202419,295.51479640854257,291.44255895033564,288.4429895803868,312.27324326662443,271.1796274684636,316.96968563741706,284.3834765583924,290.4985842912023
9,290.283630663507,303.8381836733663,304.5916616888309,296.7151000920126,297.29044503432146,330.167060759017,277.807810687022,311.9454174080449,297.70311764043686,281.9957424658892,324.334899666006,310.5444987982187,284.8991670810775,315.68420573712154,256.3690579565253,313.71089130537854,295.60691300807207,277.7978362336906,298.12014633494,308.94046054789214,311.4977498217977,304.5925679610268,301.39558379053443,326.36153715511216,298.8291099055635,272.97798662994205,314.6930122634341,304.6952653185555,294.95003133371705,284.90641614394684,318.51960897797045,291.0114101403599,289.2185169946339,292.4881706900588,272.62663698538773,301.9226295966236,301.06658192901125,278.774821677622,284.7558068498171,294.90002489422733,303.1925667728464,321.9090726837085,319.1984155537212,286.9143695355134,307.78844381734507,290.07357237844286,303.0504879319703,289.40754386587287,298.0182913866554,332.04695071416967,255.5687253465414,288.0387287191352,312.67620958925073,273.9944796368198,314.7633722892897,305.10824347484265,288.48030981979616,310.15508607981934,298.76052722436503,308.2383580667535,273.22080454588996,273.5082219675466,287.5993023957144,323.78888826951305,326.25553669809136,289.685330968209,276.40263463937225,302.8832005763986,309.3291173565925,283.20477390117907,310.83342906693605,305.2742060614332,298.13127963096525,273.48076128831474,288.087621935701,268.0657095720158,278.20414072125294,299.0603016336308,290.4775088280473,295.1828304391799,296.2160662633042,311.10645659342,305.04271391231106,298.32776830590035,316.56518700389415,310.10194607579916,305.6577222402865,322.98776838347055,313.3616723616463,295.58553504135944,339.021749709653,297.85340680323407,295.3794435787028,292.15977493930114,286.69870575558053,312.6659938610256,271.75563116168286,316.3267199250893,285.37852319582294,291.1848777539199
